run,final result,time,result,states
"('i_9_8_11_4_12_MT', 'U1D', 'MCTS', True)",0.0,-,"((0.0, 0.174), (0.0, 2.618), (0.0, 5.087), (0.0, 7.624), (0.0, 10.27), (0.0, 12.822), (0.0, 15.349), (0.0, 18.009), (0.0, 20.534), (0.0, 22.994), (0.0, 25.515), (0.0, 28.399), (0.0, 31.261), (0.0, 33.998), (0.0, 36.645), (0.0, 39.407), (0.0, 42.207), (0.0, 45.043), (0.0, 47.868), (0.0, 50.471), (0.0, 53.358), (0.0, 56.24), (0.0, 59.039))",1120
"('i_9_8_11_4_12_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 0.741), (0.0, 5.109), (0.0, 10.184), (0.0, 15.08), (0.0, 19.807), (0.0, 24.423), (0.0, 28.95), (0.0, 33.859), (0.0, 38.651), (0.0, 43.314), (0.0, 47.854), (0.0, 52.783), (0.0, 57.582))",627
"('i_9_8_11_4_12_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 63.124),)",41040
"('i_9_8_11_4_12_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 88.163),)",3888
"('i_9_8_11_4_12_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 61.175),)",26064
"('i_9_8_11_4_12_MT', 'U1D', 'MCTS', False)",0.0,27.75,"((0.0, 0.012), (0.0, 0.278), (0.0, 1.02), (0.0, 2.479), (0.0, 3.019), (0.0, 3.282), (0.0, 3.544), (0.0, 3.808), (0.0, 4.072), (0.0, 4.332), (0.0, 4.595), (0.0, 4.85), (0.0, 5.115), (0.0, 5.371), (0.0, 5.63), (0.0, 5.89), (0.0, 6.144), (0.0, 6.4), (0.0, 6.66), (0.0, 6.918), (0.0, 7.181), (0.0, 7.442), (0.0, 7.709), (0.0, 7.962), (0.0, 8.22), (0.0, 8.474), (0.0, 8.731), (0.0, 8.991), (0.0, 9.257), (0.0, 9.515), (0.0, 9.768), (0.0, 10.031), (0.0, 10.294), (0.0, 10.552), (0.0, 10.814), (0.0, 11.079), (0.0, 11.343), (0.0, 11.605), (0.0, 11.863), (0.0, 12.132), (0.0, 12.394), (0.0, 12.652), (0.0, 12.902), (0.0, 13.16), (0.0, 13.417), (0.0, 13.67), (0.0, 13.923), (0.0, 14.188), (0.0, 14.449), (0.0, 14.71), (0.0, 14.971), (0.0, 15.227), (0.0, 15.483), (0.0, 15.74), (0.0, 15.986), (0.0, 16.237), (0.0, 16.495), (0.0, 16.74), (0.0, 16.994), (0.0, 17.243), (0.0, 17.494), (0.0, 17.751), (0.0, 18.005), (0.0, 18.259), (0.0, 18.508), (0.0, 18.758), (0.0, 19.016), (0.0, 19.277), (0.0, 19.532), (0.0, 19.792), (0.0, 20.048), (0.0, 20.302), (0.0, 20.557), (0.0, 20.816), (0.0, 21.071), (0.0, 21.332), (0.0, 21.589), (0.0, 21.846), (0.0, 22.098), (0.0, 22.355), (0.0, 22.613), (0.0, 22.867), (0.0, 23.123), (0.0, 23.385), (0.0, 23.644), (0.0, 23.899), (0.0, 24.156), (0.0, 24.413), (0.0, 24.67), (0.0, 24.932), (0.0, 25.189), (0.0, 25.44), (0.0, 25.698), (0.0, 25.958), (0.0, 26.216), (0.0, 26.473), (0.0, 26.735), (0.0, 26.992), (0.0, 27.244), (0.0, 27.499), (0.0, 27.75))",5000
"('i_9_8_11_4_12_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.068), (0.0, 0.664), (0.0, 3.966), (0.0, 11.408), (0.0, 13.369), (0.0, 13.946), (0.0, 14.51), (0.0, 15.073), (0.0, 15.633), (0.0, 16.196), (0.0, 16.773), (0.0, 17.345), (0.0, 17.91), (0.0, 18.487), (0.0, 19.043), (0.0, 19.6), (0.0, 20.153), (0.0, 20.712), (0.0, 21.259), (0.0, 21.813), (0.0, 22.381), (0.0, 22.939), (0.0, 23.508), (0.0, 24.071), (0.0, 24.643), (0.0, 25.216), (0.0, 25.781), (0.0, 26.345), (0.0, 26.905), (0.0, 27.486), (0.0, 28.053), (0.0, 28.621), (0.0, 29.194), (0.0, 29.76), (0.0, 30.332), (0.0, 30.881), (0.0, 31.444), (0.0, 32.019), (0.0, 32.585), (0.0, 33.15), (0.0, 33.706), (0.0, 34.263), (0.0, 34.811), (0.0, 35.356), (0.0, 35.911), (0.0, 36.454), (0.0, 37.004), (0.0, 37.549), (0.0, 38.107), (0.0, 38.674), (0.0, 39.232), (0.0, 39.785), (0.0, 40.34), (0.0, 40.896), (0.0, 41.461), (0.0, 42.012), (0.0, 42.572), (0.0, 43.13), (0.0, 43.691), (0.0, 44.247), (0.0, 44.803), (0.0, 45.346), (0.0, 45.892), (0.0, 46.442), (0.0, 46.992), (0.0, 47.543), (0.0, 48.106), (0.0, 48.656), (0.0, 49.218), (0.0, 49.793), (0.0, 50.373), (0.0, 50.931), (0.0, 51.501), (0.0, 52.061), (0.0, 52.627), (0.0, 53.19), (0.0, 53.757), (0.0, 54.311), (0.0, 54.875), (0.0, 55.441), (0.0, 56.012), (0.0, 56.579), (0.0, 57.147), (0.0, 57.713), (0.0, 58.267), (0.0, 58.826), (0.0, 59.393), (0.0, 59.953))",4356
"('i_9_8_11_4_12_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 60.106),)",30191
"('i_9_8_11_4_12_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 60.334),)",2622
"('i_9_8_11_4_12_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 60.028),)",20695
