run,final result,time,result,states
"('i_9_7_7_1_17_FR', 'U1D', 'MCTS', True)",3.0,8.474,"((0.83, 0.003), (2.7, 0.089), (2.7, 0.181), (2.7, 0.263), (2.7, 0.341), (5.05, 0.421), (5.05, 0.5), (5.05, 0.583), (4.73, 0.67), (4.73, 0.758), (4.73, 0.848), (4.73, 0.94), (4.73, 1.031), (4.73, 1.12), (4.73, 1.209), (4.73, 1.298), (4.73, 1.383), (4.73, 1.464), (4.73, 1.544), (4.73, 1.625), (4.73, 1.706), (4.73, 1.785), (4.73, 1.864), (5.39, 1.969), (5.39, 2.046), (5.39, 2.122), (2.7, 2.197), (2.7, 2.272), (2.7, 2.348), (2.7, 2.425), (2.7, 2.5), (2.7, 2.574), (2.7, 2.65), (2.7, 2.726), (2.7, 2.802), (2.7, 2.879), (2.7, 2.954), (2.7, 3.032), (2.7, 3.108), (2.7, 3.186), (2.7, 3.264), (2.7, 3.343), (2.7, 3.419), (2.7, 3.496), (2.7, 3.576), (2.7, 3.657), (2.7, 3.738), (2.7, 3.818), (2.7, 3.901), (2.7, 3.978), (2.7, 4.06), (2.7, 4.144), (2.7, 4.223), (2.7, 4.303), (2.7, 4.385), (2.7, 4.47), (2.7, 4.55), (2.7, 4.633), (2.7, 4.713), (2.7, 4.796), (2.7, 4.882), (2.7, 4.969), (2.7, 5.054), (2.7, 5.138), (2.7, 5.221), (2.7, 5.308), (2.7, 5.393), (3.0, 5.478), (3.0, 5.563), (3.0, 5.649), (3.0, 5.736), (3.0, 5.82), (3.0, 5.909), (3.0, 6.038), (3.0, 6.127), (3.0, 6.213), (3.0, 6.298), (3.0, 6.386), (3.0, 6.473), (3.0, 6.562), (3.0, 6.651), (3.0, 6.738), (3.0, 6.829), (3.0, 6.919), (3.0, 7.007), (3.0, 7.099), (3.0, 7.189), (3.0, 7.278), (3.0, 7.366), (3.0, 7.457), (3.0, 7.543), (3.0, 7.626), (3.0, 7.713), (3.0, 7.857), (3.0, 7.946), (3.0, 8.035), (3.0, 8.126), (3.0, 8.213), (3.0, 8.302), (3.0, 8.388), (3.0, 8.474))",5000
"('i_9_7_7_1_17_FR', 'U1S', 'MCTS', True)",5.05,22.367,"((0.83, 0.007), (1.56, 0.236), (1.56, 0.51), (1.56, 0.71), (1.95, 0.902), (3.48, 1.106), (3.48, 1.317), (3.48, 1.547), (3.48, 1.787), (3.48, 2.059), (3.48, 2.326), (3.48, 2.595), (3.48, 2.873), (3.48, 3.137), (3.48, 3.387), (3.48, 3.632), (3.48, 3.856), (3.48, 4.065), (3.48, 4.283), (4.81, 4.496), (4.81, 4.699), (4.81, 4.904), (4.81, 5.094), (4.81, 5.285), (4.81, 5.478), (4.81, 5.662), (3.48, 5.849), (3.48, 6.032), (3.48, 6.229), (3.48, 6.418), (3.48, 6.618), (3.48, 6.811), (3.48, 7.0), (3.48, 7.187), (3.48, 7.368), (3.48, 7.557), (3.48, 7.742), (3.48, 7.938), (3.48, 8.128), (3.48, 8.321), (3.48, 8.521), (3.48, 8.716), (3.48, 8.921), (5.23, 9.121), (5.23, 9.322), (5.23, 9.531), (5.23, 9.739), (5.23, 9.955), (5.23, 10.161), (5.23, 10.372), (5.23, 10.592), (5.23, 10.8), (5.23, 11.007), (5.23, 11.208), (5.23, 11.436), (5.23, 11.656), (5.23, 11.871), (5.23, 12.087), (5.23, 12.314), (5.23, 12.523), (5.23, 12.759), (5.23, 12.971), (5.23, 13.203), (5.23, 13.434), (5.23, 13.669), (5.23, 13.896), (5.23, 14.139), (5.23, 14.375), (5.05, 14.749), (5.05, 14.981), (5.05, 15.216), (5.05, 15.449), (5.05, 15.685), (5.05, 15.924), (5.05, 16.157), (5.05, 16.405), (5.05, 16.65), (5.05, 16.883), (5.05, 17.125), (5.05, 17.365), (5.05, 17.603), (5.05, 17.844), (5.05, 18.075), (5.05, 18.306), (5.05, 18.535), (5.05, 18.773), (5.05, 19.027), (5.05, 19.274), (5.05, 19.521), (5.05, 19.758), (5.05, 20.003), (5.05, 20.24), (5.05, 20.487), (5.05, 20.729), (5.05, 20.965), (5.05, 21.212), (5.05, 21.443), (5.05, 21.686), (5.05, 21.914), (5.05, 22.148), (5.05, 22.367))",5000
"('i_9_7_7_1_17_FR', 'U1S', 'BFS', True)",9.14,-,"((9.14, 60.011),)",39112
"('i_9_7_7_1_17_FR', 'U1S', 'BNB', True)",5.35,-,"((5.35, 60.263),)",1698
"('i_9_7_7_1_17_FR', 'U1S', 'BNBL', True)",9.14,-,"((9.14, 60.01),)",29330
"('i_9_7_7_1_17_FR', 'U1D', 'MCTS', False)",8.29,7.08,"((0.83, 0.002), (5.32, 0.078), (5.32, 0.154), (5.32, 0.226), (5.32, 0.298), (5.05, 0.37), (5.05, 0.444), (5.05, 0.518), (5.05, 0.593), (5.05, 0.667), (5.05, 0.738), (5.05, 0.81), (4.73, 0.879), (4.73, 0.951), (4.73, 1.021), (4.73, 1.09), (4.73, 1.161), (5.39, 1.231), (5.39, 1.302), (5.39, 1.373), (5.39, 1.58), (5.39, 1.649), (5.39, 1.72), (5.39, 1.791), (5.39, 1.863), (5.39, 1.932), (5.39, 2.005), (5.39, 2.076), (5.39, 2.146), (5.39, 2.214), (5.39, 2.287), (5.39, 2.354), (5.7, 2.425), (5.7, 2.498), (5.7, 2.57), (5.7, 2.639), (5.7, 2.711), (5.7, 2.782), (5.7, 2.851), (5.7, 2.917), (5.7, 2.991), (5.7, 3.061), (5.7, 3.13), (5.7, 3.199), (5.7, 3.266), (5.7, 3.337), (5.7, 3.406), (5.7, 3.472), (5.7, 3.542), (5.7, 3.61), (5.7, 3.68), (5.7, 3.751), (5.7, 3.819), (5.7, 3.888), (5.7, 3.958), (5.7, 4.027), (5.7, 4.097), (5.7, 4.169), (5.7, 4.239), (5.7, 4.304), (5.7, 4.375), (5.7, 4.44), (5.7, 4.506), (5.7, 4.575), (5.7, 4.647), (5.7, 4.714), (5.7, 4.778), (5.7, 4.844), (5.7, 4.909), (5.7, 4.974), (5.7, 5.076), (5.7, 5.14), (8.29, 5.207), (8.29, 5.274), (8.29, 5.341), (8.29, 5.408), (8.29, 5.476), (8.29, 5.542), (8.29, 5.607), (8.29, 5.675), (8.29, 5.743), (8.29, 5.809), (8.29, 5.876), (8.29, 5.944), (8.29, 6.01), (8.29, 6.076), (8.29, 6.145), (8.29, 6.21), (8.29, 6.277), (8.29, 6.343), (8.29, 6.407), (8.29, 6.475), (8.29, 6.542), (8.29, 6.609), (8.29, 6.675), (8.29, 6.743), (8.29, 6.812), (8.29, 6.879), (8.29, 6.947), (8.29, 7.014), (8.29, 7.08))",5000
"('i_9_7_7_1_17_FR', 'U1S', 'MCTS', False)",10.45,31.974,"((0.83, 0.011), (5.05, 0.396), (4.77, 0.791), (5.79, 1.139), (4.77, 1.471), (4.77, 1.829), (5.35, 2.182), (5.35, 2.542), (5.35, 2.89), (3.83, 3.239), (3.83, 3.565), (5.06, 3.898), (6.95, 4.208), (6.95, 4.536), (6.95, 4.859), (6.95, 5.18), (6.95, 5.514), (6.95, 5.84), (6.95, 6.161), (6.95, 6.495), (6.95, 6.807), (6.95, 7.147), (6.95, 7.475), (6.95, 7.815), (6.95, 8.145), (6.68, 8.474), (6.62, 8.821), (6.62, 9.15), (6.62, 9.492), (6.62, 9.824), (6.62, 10.161), (6.62, 10.507), (6.62, 10.912), (6.62, 11.263), (6.62, 11.604), (6.62, 11.926), (6.62, 12.27), (6.62, 12.608), (6.62, 12.947), (6.62, 13.296), (6.62, 13.608), (6.62, 13.939), (6.62, 14.257), (6.62, 14.565), (6.62, 14.887), (6.62, 15.209), (6.62, 15.532), (6.62, 15.847), (6.62, 16.16), (6.62, 16.478), (6.62, 16.778), (6.62, 17.092), (6.62, 17.401), (6.62, 17.696), (6.62, 18.016), (6.62, 18.324), (6.62, 18.641), (6.62, 18.959), (6.62, 19.261), (6.62, 19.572), (6.62, 19.872), (6.62, 20.177), (6.62, 20.476), (6.62, 20.786), (6.62, 21.097), (6.62, 21.39), (6.62, 21.694), (6.62, 21.992), (6.62, 22.299), (6.62, 22.603), (6.62, 22.9), (6.62, 23.204), (6.62, 23.505), (6.62, 23.814), (6.62, 24.114), (6.62, 24.406), (6.62, 24.699), (6.62, 24.999), (6.62, 25.307), (6.62, 25.606), (6.62, 25.902), (6.62, 26.19), (6.62, 26.492), (6.62, 26.797), (6.62, 27.098), (6.62, 27.386), (6.62, 27.674), (6.62, 27.974), (6.62, 28.265), (6.62, 28.563), (6.62, 28.866), (6.62, 29.181), (5.75, 29.508), (10.45, 29.813), (10.45, 30.127), (10.45, 30.434), (10.45, 30.747), (10.45, 31.06), (10.45, 31.374), (10.45, 31.677), (10.45, 31.974))",5000
"('i_9_7_7_1_17_FR', 'U1S', 'BFS', False)",12.36,-,"((12.36, 60.009),)",26651
"('i_9_7_7_1_17_FR', 'U1S', 'BNB', False)",9.14,-,"((9.14, 60.101),)",1967
"('i_9_7_7_1_17_FR', 'U1S', 'BNBL', False)",12.36,-,"((12.36, 60.009),)",18168
