run,final result,time,result,states
"('i_9_10_7_4_8_FR', 'U1D', 'MCTS', True)",2.87,-,"((1.91, 0.111), (2.61, 0.898), (2.61, 1.718), (2.61, 2.574), (2.61, 3.493), (2.61, 4.297), (2.61, 5.043), (2.61, 5.888), (2.61, 6.723), (2.61, 7.563), (2.61, 8.475), (2.61, 9.472), (2.61, 10.474), (2.61, 11.509), (2.61, 12.386), (2.61, 13.373), (2.61, 14.293), (2.61, 15.322), (2.61, 16.234), (2.61, 17.083), (2.61, 18.091), (2.61, 19.12), (2.61, 20.064), (2.61, 20.914), (2.61, 21.912), (2.61, 22.915), (2.87, 26.175), (2.87, 44.931))",1397
"('i_9_10_7_4_8_FR', 'U1S', 'MCTS', True)",2.17,-,"((1.91, 1.064), (2.61, 5.344), (2.61, 7.527), (2.87, 9.838), (2.87, 12.162), (2.87, 14.463), (2.87, 16.661), (2.87, 18.894), (2.87, 21.309), (2.87, 23.543), (2.87, 25.827), (2.87, 28.385), (2.17, 30.843), (2.17, 33.391), (2.17, 35.598), (2.17, 37.982), (2.17, 40.448), (2.17, 42.989), (2.17, 45.408), (2.17, 47.751), (2.17, 50.072), (2.17, 52.514), (2.17, 54.936), (2.17, 57.179), (2.17, 59.676))",1208
"('i_9_10_7_4_8_FR', 'U1S', 'BFS', True)",3.92,-,"((3.92, 62.262),)",28368
"('i_9_10_7_4_8_FR', 'U1S', 'BNB', True)",2.87,-,"((2.87, 76.878),)",3888
"('i_9_10_7_4_8_FR', 'U1S', 'BNBL', True)",3.58,-,"((3.58, 60.707),)",22032
"('i_9_10_7_4_8_FR', 'U1D', 'MCTS', False)",3.58,11.127,"((1.91, 0.008), (2.17, 0.114), (2.17, 0.748), (2.87, 1.686), (3.35, 2.003), (3.35, 2.168), (3.35, 2.372), (3.35, 2.464), (3.35, 2.56), (3.35, 2.655), (3.35, 2.763), (3.58, 2.86), (3.58, 2.958), (3.58, 3.053), (3.58, 3.149), (3.58, 3.243), (3.58, 3.338), (3.58, 3.429), (3.58, 3.519), (3.58, 3.609), (3.58, 3.699), (3.58, 3.789), (3.58, 3.879), (3.58, 3.969), (3.58, 4.06), (3.58, 4.151), (3.58, 4.243), (3.58, 4.332), (3.58, 4.423), (3.58, 4.517), (3.58, 4.61), (3.58, 4.706), (3.58, 4.8), (3.58, 4.894), (3.58, 4.986), (3.58, 5.08), (3.58, 5.172), (3.58, 5.266), (3.58, 5.359), (3.58, 5.451), (3.58, 5.547), (3.58, 5.64), (3.58, 5.735), (3.58, 5.825), (3.58, 5.917), (3.58, 6.008), (3.58, 6.102), (3.58, 6.194), (3.58, 6.287), (3.58, 6.378), (3.58, 6.472), (3.58, 6.564), (3.58, 6.657), (3.58, 6.748), (3.58, 6.84), (3.58, 6.933), (3.58, 7.026), (3.58, 7.12), (3.58, 7.212), (3.58, 7.303), (3.58, 7.395), (3.58, 7.487), (3.58, 7.578), (3.58, 7.668), (3.58, 7.762), (3.58, 7.853), (3.58, 7.947), (3.58, 8.041), (3.58, 8.132), (3.58, 8.225), (3.58, 8.316), (3.58, 8.409), (3.58, 8.5), (3.58, 8.593), (3.58, 8.685), (3.58, 8.779), (3.58, 8.872), (3.58, 8.965), (3.58, 9.06), (3.58, 9.155), (3.58, 9.249), (3.58, 9.343), (3.58, 9.434), (3.58, 9.528), (3.58, 9.622), (3.58, 9.716), (3.58, 9.81), (3.58, 9.903), (3.58, 9.996), (3.58, 10.09), (3.58, 10.185), (3.58, 10.279), (3.58, 10.375), (3.58, 10.47), (3.58, 10.562), (3.58, 10.656), (3.58, 10.752), (3.58, 10.846), (3.58, 10.94), (3.58, 11.034), (3.58, 11.127))",5000
"('i_9_10_7_4_8_FR', 'U1S', 'MCTS', False)",3.22,-,"((1.91, 0.119), (2.87, 0.571), (2.87, 6.125), (3.35, 18.573), (3.35, 22.45), (3.45, 22.836), (3.45, 23.231), (3.45, 23.634), (3.45, 24.029), (2.74, 24.425), (2.74, 24.817), (2.74, 25.214), (2.74, 25.614), (2.74, 26.021), (2.74, 26.433), (2.74, 26.835), (2.74, 27.228), (2.74, 27.625), (2.74, 28.024), (2.74, 28.422), (2.74, 28.818), (2.74, 29.211), (3.92, 29.618), (3.92, 30.028), (3.92, 30.429), (3.92, 30.831), (3.92, 31.231), (3.92, 31.625), (3.92, 32.018), (3.92, 32.411), (3.92, 32.802), (3.92, 33.197), (3.92, 33.602), (3.92, 34.005), (3.92, 34.403), (3.92, 34.807), (3.92, 35.203), (3.92, 35.597), (3.92, 35.999), (3.92, 36.39), (3.92, 36.786), (3.92, 37.182), (4.06, 37.586), (4.06, 37.981), (3.22, 38.376), (3.22, 38.779), (3.22, 39.172), (3.22, 39.569), (3.22, 39.964), (3.22, 40.353), (3.22, 40.754), (3.22, 41.14), (3.22, 41.531), (3.22, 41.917), (3.22, 42.311), (3.22, 42.701), (3.22, 43.097), (3.22, 43.491), (3.22, 43.888), (3.22, 44.285), (3.22, 44.695), (3.22, 45.082), (3.22, 45.492), (3.22, 45.899), (3.22, 46.303), (3.22, 46.709), (3.22, 47.101), (3.22, 47.486), (3.22, 47.888), (3.22, 48.274), (3.22, 48.67), (3.22, 49.072), (3.22, 49.472), (3.22, 49.875), (3.22, 50.283), (3.22, 50.689), (3.22, 51.102), (3.22, 51.51), (3.22, 51.912), (3.22, 52.311), (3.22, 52.711), (3.22, 53.112), (3.22, 53.524), (3.22, 53.937), (3.22, 54.345), (3.22, 54.746), (3.22, 55.138), (3.22, 55.522), (3.22, 55.907), (3.22, 56.292), (3.22, 56.682), (3.22, 57.08), (3.22, 57.486), (3.22, 57.893), (3.22, 58.302), (3.22, 58.708), (3.22, 59.112), (3.22, 59.513), (3.22, 59.92))",4911
"('i_9_10_7_4_8_FR', 'U1S', 'BFS', False)",4.63,-,"((4.63, 60.069),)",18715
"('i_9_10_7_4_8_FR', 'U1S', 'BNB', False)",4.63,-,"((4.63, 60.923),)",3546
"('i_9_10_7_4_8_FR', 'U1S', 'BNBL', False)",4.63,-,"((4.63, 60.161),)",15811
