run,final result,time,result,states
"('i_3_3_4_5_4_FR', 'U1D', 'MCTS', True)",0.63,-,"((0.44, 0.677), (0.44, 2.271), (0.44, 4.22), (0.44, 6.409), (0.44, 8.546), (0.63, 10.443), (0.63, 12.178), (0.63, 14.4), (0.63, 16.606), (0.63, 18.729), (0.63, 20.972), (0.63, 23.726), (0.63, 26.522), (0.63, 29.43), (0.63, 31.581), (0.63, 34.23), (0.63, 37.079), (0.63, 40.055), (0.63, 42.488), (0.63, 44.854), (0.63, 47.907), (0.63, 50.835), (0.63, 53.511), (0.63, 55.884), (0.63, 58.791))",1220
"('i_3_3_4_5_4_FR', 'U1S', 'MCTS', True)",0.44,-,"((0.44, 3.86), (0.44, 11.131), (0.44, 18.957), (0.44, 27.005), (0.44, 34.674), (0.44, 42.279), (0.44, 49.61), (0.44, 57.577))",369
"('i_3_3_4_5_4_FR', 'U1S', 'BFS', True)",2.04,-,"((2.04, 66.268),)",44064
"('i_3_3_4_5_4_FR', 'U1S', 'BNB', True)",1.49,-,"((1.49, 79.806),)",23328
"('i_3_3_4_5_4_FR', 'U1S', 'BNBL', True)",2.04,-,"((2.04, 75.253),)",44064
"('i_3_3_4_5_4_FR', 'U1D', 'MCTS', False)",2.04,27.185,"((0.44, 0.02), (1.3, 0.096), (1.3, 0.177), (1.3, 0.27), (1.3, 0.358), (1.3, 1.08), (1.3, 5.669), (1.3, 10.161), (1.3, 14.566), (1.85, 18.847), (1.85, 21.941), (1.85, 21.994), (1.85, 22.047), (1.85, 22.1), (1.85, 22.632), (1.85, 22.684), (1.85, 22.735), (1.85, 22.785), (1.85, 22.835), (1.85, 22.885), (1.56, 22.936), (1.56, 22.989), (1.56, 23.038), (1.56, 23.092), (1.56, 23.145), (1.56, 23.198), (1.56, 23.254), (1.56, 23.308), (1.56, 23.364), (1.56, 23.42), (1.56, 23.474), (1.56, 23.532), (1.56, 23.59), (1.56, 23.644), (2.04, 23.699), (2.04, 23.754), (2.04, 23.807), (2.04, 23.858), (2.04, 23.912), (2.04, 23.967), (2.04, 24.018), (2.04, 24.07), (2.04, 24.124), (2.04, 24.175), (2.04, 24.226), (2.04, 24.277), (2.04, 24.33), (2.04, 24.382), (2.04, 24.435), (2.04, 24.488), (2.04, 24.54), (2.04, 24.593), (2.04, 24.645), (2.04, 24.697), (2.04, 24.749), (2.04, 24.801), (2.04, 24.853), (2.04, 24.905), (2.04, 24.954), (2.04, 25.005), (2.04, 25.057), (2.04, 25.112), (2.04, 25.165), (2.04, 25.218), (2.04, 25.271), (2.04, 25.323), (2.04, 25.376), (2.04, 25.431), (2.04, 25.485), (2.04, 25.539), (2.04, 25.592), (2.04, 25.645), (2.04, 25.697), (2.04, 25.749), (2.04, 25.805), (2.04, 25.861), (2.04, 25.914), (2.04, 25.968), (2.04, 26.023), (2.04, 26.077), (2.04, 26.13), (2.04, 26.183), (2.04, 26.238), (2.04, 26.293), (2.04, 26.344), (2.04, 26.396), (2.04, 26.445), (2.04, 26.501), (2.04, 26.557), (2.04, 26.61), (2.04, 26.665), (2.04, 26.716), (2.04, 26.767), (2.04, 26.816), (2.04, 26.871), (2.04, 26.928), (2.04, 26.981), (2.04, 27.034), (2.04, 27.088), (2.04, 27.137), (2.04, 27.185))",5000
"('i_3_3_4_5_4_FR', 'U1S', 'MCTS', False)",1.49,-,"((0.44, 0.179), (1.49, 0.412), (1.3, 0.661), (1.49, 0.921), (1.49, 1.162), (1.49, 5.811), (1.49, 34.196))",347
"('i_3_3_4_5_4_FR', 'U1S', 'BFS', False)",3.04,-,"((3.04, 61.097),)",31974
"('i_3_3_4_5_4_FR', 'U1S', 'BNB', False)",3.04,-,"((3.04, 60.217),)",21618
"('i_3_3_4_5_4_FR', 'U1S', 'BNBL', False)",3.04,-,"((3.04, 60.894),)",28950
