run,final result,time,result,states
"('i_15_12_14_4_13_MT', 'U1D', 'MCTS', True)",0.0,-,"((0.0, 0.179), (0.0, 2.533), (0.0, 4.998), (0.0, 7.504), (0.0, 10.14), (0.0, 12.652), (0.0, 15.092), (0.0, 17.599), (0.0, 20.241), (0.0, 22.896), (0.0, 25.418), (0.0, 28.242), (0.0, 30.981), (0.0, 33.734), (0.0, 36.256), (0.0, 38.925), (0.0, 41.678), (0.0, 44.493), (0.0, 47.28), (0.0, 50.003), (0.0, 52.842), (0.0, 55.764), (0.0, 58.82))",1124
"('i_15_12_14_4_13_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 0.836), (0.0, 5.349), (0.0, 10.243), (0.0, 15.242), (0.0, 20.086), (0.0, 25.231), (0.0, 29.77), (0.0, 34.596), (0.0, 39.27), (0.0, 44.154), (0.0, 48.969), (0.0, 53.846), (0.0, 58.757))",614
"('i_15_12_14_4_13_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 61.754),)",28368
"('i_15_12_14_4_13_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 187.273),)",1296
"('i_15_12_14_4_13_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 66.083),)",16848
"('i_15_12_14_4_13_MT', 'U1D', 'MCTS', False)",0.0,27.542,"((0.0, 0.121), (0.0, 0.384), (0.0, 0.943), (0.0, 2.332), (0.0, 2.919), (0.0, 3.165), (0.0, 3.411), (0.0, 3.656), (0.0, 3.9), (0.0, 4.154), (0.0, 4.404), (0.0, 4.667), (0.0, 4.916), (0.0, 5.172), (0.0, 5.427), (0.0, 5.676), (0.0, 5.925), (0.0, 6.175), (0.0, 6.43), (0.0, 6.679), (0.0, 6.932), (0.0, 7.19), (0.0, 7.443), (0.0, 7.698), (0.0, 7.955), (0.0, 8.205), (0.0, 8.458), (0.0, 8.707), (0.0, 8.962), (0.0, 9.23), (0.0, 9.491), (0.0, 9.752), (0.0, 10.008), (0.0, 10.263), (0.0, 10.518), (0.0, 10.778), (0.0, 11.043), (0.0, 11.311), (0.0, 11.575), (0.0, 11.841), (0.0, 12.107), (0.0, 12.369), (0.0, 12.629), (0.0, 12.884), (0.0, 13.141), (0.0, 13.401), (0.0, 13.654), (0.0, 13.911), (0.0, 14.168), (0.0, 14.425), (0.0, 14.687), (0.0, 14.943), (0.0, 15.195), (0.0, 15.452), (0.0, 15.708), (0.0, 15.963), (0.0, 16.214), (0.0, 16.469), (0.0, 16.725), (0.0, 16.976), (0.0, 17.228), (0.0, 17.476), (0.0, 17.733), (0.0, 17.992), (0.0, 18.251), (0.0, 18.509), (0.0, 18.766), (0.0, 19.024), (0.0, 19.28), (0.0, 19.535), (0.0, 19.791), (0.0, 20.043), (0.0, 20.291), (0.0, 20.542), (0.0, 20.804), (0.0, 21.062), (0.0, 21.324), (0.0, 21.58), (0.0, 21.836), (0.0, 22.096), (0.0, 22.353), (0.0, 22.609), (0.0, 22.867), (0.0, 23.127), (0.0, 23.387), (0.0, 23.646), (0.0, 23.906), (0.0, 24.169), (0.0, 24.433), (0.0, 24.701), (0.0, 24.963), (0.0, 25.22), (0.0, 25.481), (0.0, 25.746), (0.0, 26.005), (0.0, 26.262), (0.0, 26.517), (0.0, 26.773), (0.0, 27.029), (0.0, 27.292), (0.0, 27.542))",5000
"('i_15_12_14_4_13_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.08), (0.0, 0.741), (0.0, 3.683), (0.0, 12.244), (0.0, 14.933), (0.0, 15.539), (0.0, 16.134), (0.0, 16.721), (0.0, 17.313), (0.0, 17.91), (0.0, 18.515), (0.0, 19.122), (0.0, 19.711), (0.0, 20.302), (0.0, 20.893), (0.0, 21.489), (0.0, 22.094), (0.0, 22.694), (0.0, 23.296), (0.0, 23.879), (0.0, 24.479), (0.0, 25.082), (0.0, 25.679), (0.0, 26.281), (0.0, 26.887), (0.0, 27.479), (0.0, 28.076), (0.0, 28.682), (0.0, 29.285), (0.0, 29.896), (0.0, 30.492), (0.0, 31.101), (0.0, 31.697), (0.0, 32.302), (0.0, 32.923), (0.0, 33.516), (0.0, 34.118), (0.0, 34.718), (0.0, 35.314), (0.0, 35.918), (0.0, 36.507), (0.0, 37.104), (0.0, 37.703), (0.0, 38.29), (0.0, 38.879), (0.0, 39.464), (0.0, 40.048), (0.0, 40.636), (0.0, 41.224), (0.0, 41.814), (0.0, 42.414), (0.0, 42.999), (0.0, 43.602), (0.0, 44.2), (0.0, 44.786), (0.0, 45.38), (0.0, 45.975), (0.0, 46.569), (0.0, 47.161), (0.0, 47.738), (0.0, 48.317), (0.0, 48.899), (0.0, 49.482), (0.0, 50.072), (0.0, 50.657), (0.0, 51.244), (0.0, 51.849), (0.0, 52.44), (0.0, 53.039), (0.0, 53.633), (0.0, 54.228), (0.0, 54.816), (0.0, 55.406), (0.0, 56.001), (0.0, 56.589), (0.0, 57.182), (0.0, 57.777), (0.0, 58.358), (0.0, 58.935), (0.0, 59.529))",3991
"('i_15_12_14_4_13_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 60.662),)",21847
"('i_15_12_14_4_13_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 73.792),)",486
"('i_15_12_14_4_13_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 60.259),)",12274
