run,final result,time,result,states
"('i_3_3_3_3_6_FR', 'U1D', 'MCTS', True)",0.74,12.005,"((0.37, 0.012), (0.74, 0.064), (0.74, 0.118), (0.74, 0.173), (0.74, 0.231), (0.76, 1.347), (0.76, 2.99), (0.76, 4.781), (1.35, 6.062), (1.35, 7.817), (1.35, 7.973), (1.35, 8.019), (1.35, 8.061), (0.74, 8.107), (0.74, 8.15), (0.74, 8.196), (0.74, 8.24), (0.74, 8.284), (0.74, 8.33), (0.74, 8.373), (0.74, 8.419), (0.74, 8.463), (0.74, 8.506), (0.74, 8.551), (0.74, 8.593), (0.74, 8.636), (0.74, 8.68), (0.74, 8.723), (0.74, 8.764), (0.74, 8.804), (0.74, 8.848), (0.74, 8.894), (0.74, 8.936), (0.74, 8.981), (0.74, 9.025), (0.74, 9.068), (0.74, 9.114), (0.74, 9.159), (0.74, 9.201), (0.74, 9.246), (0.74, 9.289), (0.74, 9.334), (0.74, 9.379), (0.74, 9.422), (0.74, 9.47), (0.74, 9.514), (0.74, 9.562), (0.74, 9.604), (0.74, 9.651), (0.74, 9.696), (0.74, 9.741), (0.74, 9.786), (0.74, 9.831), (0.74, 9.879), (0.74, 9.921), (0.74, 9.967), (0.74, 10.012), (0.74, 10.058), (0.74, 10.105), (0.74, 10.147), (0.74, 10.19), (0.74, 10.233), (0.74, 10.276), (0.74, 10.319), (0.74, 10.369), (0.74, 10.411), (0.74, 10.453), (0.74, 10.498), (0.74, 10.542), (0.74, 10.59), (0.74, 10.634), (0.74, 10.681), (0.74, 10.726), (0.74, 10.774), (0.74, 10.818), (0.74, 10.864), (0.74, 10.912), (0.74, 10.959), (0.74, 11.008), (0.74, 11.051), (0.74, 11.099), (0.74, 11.146), (0.74, 11.193), (0.74, 11.237), (0.74, 11.283), (0.74, 11.331), (0.74, 11.375), (0.74, 11.422), (0.74, 11.467), (0.74, 11.512), (0.74, 11.557), (0.74, 11.601), (0.74, 11.645), (0.74, 11.689), (0.74, 11.735), (0.74, 11.779), (0.74, 11.826), (0.74, 11.869), (0.74, 11.914), (0.74, 11.96), (0.74, 12.005))",5000
"('i_3_3_3_3_6_FR', 'U1S', 'MCTS', True)",1.75,34.998,"((0.37, 0.067), (0.74, 0.16), (0.74, 0.261), (0.76, 0.362), (0.76, 0.466), (0.76, 4.938), (0.76, 11.656), (0.76, 18.047), (0.76, 24.115), (0.76, 27.867), (0.76, 27.945), (0.76, 28.024), (0.76, 28.102), (0.76, 28.18), (0.76, 28.257), (0.76, 28.338), (1.35, 28.418), (1.35, 28.497), (1.35, 28.572), (1.35, 28.649), (0.76, 28.728), (0.76, 28.804), (0.76, 28.878), (0.76, 28.956), (0.76, 29.029), (0.76, 29.103), (0.76, 29.178), (0.76, 29.255), (0.76, 29.333), (1.75, 29.409), (1.75, 29.483), (1.75, 29.559), (1.75, 29.636), (1.75, 29.708), (1.75, 29.787), (1.75, 29.865), (1.75, 29.942), (1.75, 30.022), (1.75, 30.104), (1.75, 30.179), (1.75, 30.257), (1.75, 30.335), (1.75, 30.411), (1.75, 30.49), (1.75, 30.567), (1.75, 30.65), (1.75, 30.731), (1.75, 30.811), (1.75, 30.892), (1.75, 30.971), (1.75, 31.05), (1.75, 31.134), (1.75, 31.213), (1.75, 31.287), (1.75, 31.362), (1.75, 31.442), (1.75, 31.517), (1.75, 31.594), (1.75, 31.671), (1.75, 31.746), (1.75, 31.821), (1.75, 31.894), (1.75, 31.969), (1.75, 32.044), (1.75, 32.119), (1.75, 32.2), (1.75, 32.278), (1.75, 32.356), (1.75, 32.434), (1.75, 32.516), (1.75, 32.593), (1.75, 32.674), (1.75, 32.758), (1.75, 32.838), (1.75, 32.918), (1.75, 33.001), (1.75, 33.081), (1.75, 33.164), (1.75, 33.248), (1.75, 33.332), (1.75, 33.411), (1.75, 33.49), (1.75, 33.571), (1.75, 33.65), (1.75, 33.731), (1.75, 33.813), (1.75, 33.893), (1.75, 33.97), (1.75, 34.054), (1.75, 34.133), (1.75, 34.209), (1.75, 34.291), (1.75, 34.365), (1.75, 34.441), (1.75, 34.521), (1.75, 34.6), (1.75, 34.681), (1.75, 34.761), (1.75, 34.84), (1.75, 34.923), (1.75, 34.998))",5000
"('i_3_3_3_3_6_FR', 'U1S', 'BFS', True)",2.36,-,"((2.36, 60.753),)",48280
"('i_3_3_3_3_6_FR', 'U1S', 'BNB', True)",2.36,-,"((2.36, 60.558),)",33304
"('i_3_3_3_3_6_FR', 'U1S', 'BNBL', True)",2.36,-,"((2.36, 60.51),)",47768
"('i_3_3_3_3_6_FR', 'U1D', 'MCTS', False)",3.13,9.784,"((0.37, 0.002), (0.77, 0.1), (0.77, 0.145), (0.77, 0.167), (0.77, 0.19), (1.75, 0.212), (1.75, 0.234), (1.75, 0.257), (1.75, 0.279), (1.75, 0.302), (1.75, 0.325), (1.75, 0.348), (2.35, 0.372), (2.36, 0.395), (2.36, 0.418), (2.36, 0.446), (2.36, 0.478), (2.36, 0.505), (2.36, 0.752), (2.36, 0.782), (2.36, 0.824), (2.36, 0.884), (2.36, 0.942), (2.36, 1.027), (2.36, 1.103), (2.36, 1.193), (2.36, 1.337), (2.36, 1.461), (2.36, 1.602), (2.36, 1.821), (2.36, 2.012), (2.36, 2.244), (2.36, 2.439), (2.36, 2.693), (2.36, 2.871), (2.36, 3.038), (2.36, 3.231), (2.36, 3.517), (2.36, 3.75), (2.36, 3.962), (2.36, 4.299), (2.36, 4.566), (2.36, 4.844), (2.36, 5.063), (2.36, 5.286), (2.36, 5.611), (2.36, 5.801), (2.36, 5.988), (2.36, 6.176), (2.36, 6.291), (2.36, 6.423), (2.36, 6.531), (2.36, 6.638), (3.13, 6.92), (3.13, 7.032), (3.13, 7.183), (3.13, 7.376), (3.13, 7.538), (3.13, 7.703), (3.13, 7.857), (3.13, 8.003), (3.13, 8.136), (3.13, 8.246), (3.13, 8.344), (3.13, 8.438), (3.13, 8.509), (3.13, 8.558), (3.13, 8.803), (3.13, 8.84), (3.13, 8.873), (3.13, 8.901), (3.13, 8.927), (3.13, 8.95), (3.13, 8.987), (3.13, 9.026), (3.13, 9.046), (3.13, 9.102), (3.13, 9.149), (3.13, 9.234), (3.13, 9.335), (3.13, 9.383), (3.13, 9.42), (3.13, 9.448), (3.13, 9.479), (3.13, 9.497), (3.13, 9.515), (3.13, 9.533), (3.13, 9.551), (3.13, 9.569), (3.13, 9.587), (3.13, 9.605), (3.13, 9.623), (3.13, 9.64), (3.13, 9.657), (3.13, 9.675), (3.13, 9.693), (3.13, 9.711), (3.13, 9.729), (3.13, 9.747), (3.13, 9.766), (3.13, 9.784))",5000
"('i_3_3_3_3_6_FR', 'U1S', 'MCTS', False)",2.37,39.443,"((0.37, 0.014), (0.74, 0.626), (0.74, 0.778), (0.74, 0.832), (0.76, 0.885), (0.76, 0.937), (0.76, 0.992), (0.76, 1.047), (0.76, 1.101), (0.76, 1.154), (0.76, 1.209), (0.76, 1.263), (1.35, 1.317), (0.77, 1.373), (0.77, 1.427), (0.77, 1.482), (0.77, 1.555), (0.77, 1.631), (0.77, 1.754), (0.77, 1.86), (0.77, 2.032), (0.77, 2.312), (0.77, 2.695), (2.35, 3.039), (2.35, 3.444), (2.35, 3.837), (2.35, 4.242), (2.35, 4.934), (2.35, 5.809), (2.35, 6.687), (2.35, 7.528), (2.35, 8.509), (2.35, 9.484), (2.35, 10.381), (2.35, 11.23), (2.35, 12.254), (2.35, 13.431), (2.35, 14.702), (2.35, 15.964), (2.35, 17.717), (2.35, 18.907), (2.35, 19.941), (2.35, 20.845), (2.35, 21.754), (2.35, 22.706), (2.35, 23.788), (2.35, 24.722), (2.35, 25.701), (2.35, 26.789), (2.35, 27.83), (2.35, 28.892), (2.35, 30.02), (2.35, 30.948), (2.35, 31.546), (2.35, 32.04), (2.35, 32.401), (2.35, 32.775), (2.35, 33.255), (2.35, 33.66), (2.35, 34.039), (2.35, 34.422), (2.35, 34.726), (2.35, 35.149), (2.35, 35.59), (2.35, 36.066), (2.35, 36.612), (2.35, 37.09), (2.35, 37.621), (2.35, 38.178), (2.35, 38.448), (2.35, 38.569), (2.35, 38.617), (2.35, 38.646), (2.35, 38.676), (2.35, 38.705), (2.35, 38.735), (2.35, 38.764), (2.35, 38.792), (2.35, 38.821), (2.35, 38.85), (2.35, 38.878), (2.35, 38.906), (2.35, 38.934), (2.35, 38.962), (2.35, 38.99), (2.35, 39.019), (2.35, 39.048), (2.35, 39.076), (2.35, 39.104), (2.35, 39.133), (2.35, 39.161), (2.35, 39.189), (2.35, 39.217), (2.35, 39.246), (2.35, 39.274), (2.35, 39.302), (2.35, 39.33), (2.35, 39.358), (2.35, 39.386), (2.37, 39.415), (2.37, 39.443))",5000
"('i_3_3_3_3_6_FR', 'U1S', 'BFS', False)",3.15,-,"((3.15, 60.019),)",36859
"('i_3_3_3_3_6_FR', 'U1S', 'BNB', False)",3.15,-,"((3.15, 60.158),)",31744
"('i_3_3_3_3_6_FR', 'U1S', 'BNBL', False)",3.15,-,"((3.15, 60.067),)",40154
