run,final result,time,result
"('grid4FR', 'U1D', 'MCTS', True)",1.94,0.995,"((0.17, 0.0), (0.9, 0.01), (0.25, 0.022), (0.25, 0.029), (0.92, 0.036), (1.0, 0.042), (1.0, 0.05), (1.16, 0.058), (1.09, 0.068), (1.09, 0.08), (1.09, 0.093), (1.09, 0.107), (1.09, 0.12), (1.09, 0.133), (1.09, 0.143), (1.09, 0.154), (1.67, 0.163), (1.67, 0.172), (1.67, 0.18), (1.67, 0.186), (1.67, 0.193), (1.67, 0.199), (1.67, 0.205), (1.67, 0.21), (1.67, 0.215), (1.67, 0.22), (1.67, 0.225), (1.67, 0.23), (1.67, 0.235), (1.67, 0.24), (1.67, 0.245), (1.67, 0.25), (1.67, 0.255), (1.67, 0.26), (1.67, 0.266), (1.67, 0.271), (1.67, 0.276), (1.67, 0.282), (1.67, 0.287), (1.67, 0.292), (1.67, 0.299), (1.94, 0.306), (1.94, 0.312), (1.94, 0.318), (1.94, 0.325), (1.94, 0.332), (1.94, 0.338), (1.94, 0.346), (1.94, 0.353), (1.94, 0.36), (1.94, 0.368), (1.94, 0.377), (1.94, 0.385), (1.94, 0.394), (1.94, 0.402), (1.94, 0.41), (1.94, 0.419), (1.94, 0.45), (1.94, 0.459), (1.94, 0.47), (1.94, 0.481), (1.94, 0.492), (1.94, 0.502), (1.94, 0.512), (1.94, 0.522), (1.94, 0.534), (1.94, 0.545), (1.94, 0.555), (1.94, 0.566), (1.94, 0.578), (1.94, 0.589), (1.94, 0.6), (1.94, 0.611), (1.94, 0.623), (1.94, 0.634), (1.94, 0.645), (1.94, 0.659), (1.94, 0.669), (1.94, 0.709), (1.94, 0.721), (1.94, 0.735), (1.94, 0.746), (1.94, 0.757), (1.94, 0.768), (1.94, 0.779), (1.94, 0.791), (1.94, 0.802), (1.94, 0.813), (1.94, 0.823), (1.94, 0.836), (1.94, 0.847), (1.94, 0.858), (1.94, 0.869), (1.94, 0.88), (1.94, 0.891), (1.94, 0.902), (1.94, 0.914), (1.94, 0.926), (1.94, 0.973), (1.94, 0.985), (1.94, 0.995))"
"('grid4FR', 'U1S', 'MCTS', True)",2.03,2.001,"((0.17, 0.001), (0.92, 0.023), (0.92, 0.063), (0.92, 0.075), (0.92, 0.088), (0.92, 0.1), (0.92, 0.115), (0.92, 0.134), (0.93, 0.162), (1.94, 0.189), (1.94, 0.223), (1.94, 0.259), (1.94, 0.295), (1.94, 0.327), (1.94, 0.352), (1.94, 0.374), (1.94, 0.398), (1.94, 0.414), (1.94, 0.429), (1.94, 0.443), (1.94, 0.456), (1.94, 0.467), (1.94, 0.474), (1.94, 0.482), (1.94, 0.49), (1.94, 0.498), (2.03, 0.506), (2.03, 0.513), (2.03, 0.521), (2.03, 0.529), (2.03, 0.537), (2.03, 0.544), (2.03, 0.552), (2.03, 0.56), (2.03, 0.569), (2.03, 0.58), (2.03, 0.588), (2.03, 0.597), (2.03, 0.606), (2.03, 0.615), (2.03, 0.625), (2.03, 0.637), (2.03, 0.649), (2.03, 0.661), (2.03, 0.674), (2.03, 0.687), (2.03, 0.704), (2.03, 0.718), (2.03, 0.731), (2.03, 0.742), (2.03, 0.757), (2.03, 0.774), (2.03, 0.792), (2.03, 0.809), (2.03, 0.825), (2.03, 0.843), (2.03, 0.862), (2.03, 0.884), (2.03, 0.906), (2.03, 0.928), (2.03, 0.95), (2.03, 0.972), (2.03, 0.995), (2.03, 1.018), (2.03, 1.038), (2.03, 1.062), (2.03, 1.084), (2.03, 1.107), (2.03, 1.131), (2.03, 1.155), (2.03, 1.179), (2.03, 1.204), (2.03, 1.227), (2.03, 1.256), (2.03, 1.281), (2.03, 1.307), (2.03, 1.331), (2.03, 1.434), (2.03, 1.458), (2.03, 1.479), (2.03, 1.502), (2.03, 1.523), (2.03, 1.546), (2.03, 1.569), (2.03, 1.594), (2.03, 1.617), (2.03, 1.64), (2.03, 1.664), (2.03, 1.691), (2.03, 1.716), (2.03, 1.745), (2.03, 1.772), (2.03, 1.793), (2.03, 1.817), (2.03, 1.842), (2.03, 1.87), (2.03, 1.9), (2.03, 1.925), (2.03, 1.949), (2.03, 1.975), (2.03, 2.001))"
"('grid4FR', 'U1S', 'BFS', True)",3.56,8.545256344,"((3.56, 8.545256344),)"
"('grid4FR', 'U1S', 'BNB', True)",3.56,3.044587946,"((3.56, 3.044587946),)"
"('grid4FR', 'U1D', 'MCTS', False)",2.03,0.395,"((0.17, 0.001), (1.84, 0.008), (1.84, 0.018), (1.84, 0.024), (1.84, 0.031), (1.84, 0.038), (1.84, 0.045), (1.84, 0.052), (2.72, 0.059), (2.72, 0.066), (2.72, 0.071), (1.94, 0.076), (3.52, 0.08), (3.52, 0.084), (3.52, 0.087), (3.52, 0.091), (2.03, 0.095), (2.03, 0.098), (2.03, 0.101), (2.03, 0.105), (2.03, 0.108), (2.03, 0.112), (2.03, 0.115), (2.03, 0.118), (2.03, 0.122), (2.03, 0.125), (2.03, 0.129), (2.03, 0.132), (2.03, 0.135), (2.03, 0.139), (2.03, 0.143), (2.03, 0.146), (2.03, 0.149), (2.03, 0.153), (2.03, 0.156), (2.03, 0.16), (2.03, 0.163), (2.03, 0.166), (2.03, 0.17), (2.03, 0.173), (2.03, 0.177), (2.03, 0.18), (2.03, 0.183), (2.03, 0.187), (2.03, 0.19), (2.03, 0.194), (2.03, 0.197), (2.03, 0.201), (2.03, 0.204), (2.03, 0.207), (2.03, 0.211), (2.03, 0.214), (2.03, 0.218), (2.03, 0.221), (2.03, 0.224), (2.03, 0.228), (2.03, 0.232), (2.03, 0.235), (2.03, 0.238), (2.03, 0.242), (2.03, 0.245), (2.03, 0.249), (2.03, 0.252), (2.03, 0.255), (2.03, 0.259), (2.03, 0.262), (2.03, 0.266), (2.03, 0.269), (2.03, 0.272), (2.03, 0.276), (2.03, 0.279), (2.03, 0.283), (2.03, 0.286), (2.03, 0.289), (2.03, 0.293), (2.03, 0.296), (2.03, 0.3), (2.03, 0.303), (2.03, 0.306), (2.03, 0.31), (2.03, 0.313), (2.03, 0.317), (2.03, 0.32), (2.03, 0.323), (2.03, 0.327), (2.03, 0.331), (2.03, 0.334), (2.03, 0.337), (2.03, 0.34), (2.03, 0.344), (2.03, 0.347), (2.03, 0.351), (2.03, 0.354), (2.03, 0.357), (2.03, 0.361), (2.03, 0.365), (2.03, 0.368), (2.03, 0.376), (2.03, 0.383), (2.03, 0.39), (2.03, 0.395))"
"('grid4FR', 'U1S', 'MCTS', False)",3.56,0.507,"((0.17, 0.001), (1.16, 0.029), (2.03, 0.059), (2.89, 0.074), (2.89, 0.089), (2.89, 0.109), (2.89, 0.131), (2.89, 0.154), (2.9, 0.17), (2.9, 0.185), (2.9, 0.198), (3.52, 0.207), (3.52, 0.214), (3.56, 0.219), (3.56, 0.223), (3.56, 0.227), (3.56, 0.23), (3.56, 0.233), (3.56, 0.236), (3.56, 0.24), (3.56, 0.243), (3.56, 0.246), (3.56, 0.25), (3.56, 0.253), (3.56, 0.256), (3.56, 0.26), (3.56, 0.263), (3.56, 0.266), (3.56, 0.27), (3.56, 0.273), (3.56, 0.276), (3.56, 0.279), (3.56, 0.283), (3.56, 0.286), (3.56, 0.289), (3.56, 0.292), (3.56, 0.296), (3.56, 0.299), (3.56, 0.302), (3.56, 0.305), (3.56, 0.309), (3.56, 0.312), (3.56, 0.316), (3.56, 0.319), (3.56, 0.322), (3.56, 0.326), (3.56, 0.329), (3.56, 0.332), (3.56, 0.335), (3.56, 0.339), (3.56, 0.342), (3.56, 0.345), (3.56, 0.349), (3.56, 0.352), (3.56, 0.355), (3.56, 0.359), (3.56, 0.362), (3.56, 0.365), (3.56, 0.368), (3.56, 0.372), (3.56, 0.375), (3.56, 0.378), (3.56, 0.381), (3.56, 0.385), (3.56, 0.388), (3.56, 0.391), (3.56, 0.395), (3.56, 0.398), (3.56, 0.401), (3.56, 0.404), (3.56, 0.408), (3.56, 0.411), (3.56, 0.414), (3.56, 0.418), (3.56, 0.421), (3.56, 0.424), (3.56, 0.428), (3.56, 0.431), (3.56, 0.435), (3.56, 0.438), (3.56, 0.441), (3.56, 0.444), (3.56, 0.448), (3.56, 0.451), (3.56, 0.454), (3.56, 0.457), (3.56, 0.461), (3.56, 0.464), (3.56, 0.467), (3.56, 0.471), (3.56, 0.474), (3.56, 0.477), (3.56, 0.481), (3.56, 0.484), (3.56, 0.487), (3.56, 0.491), (3.56, 0.494), (3.56, 0.497), (3.56, 0.5), (3.56, 0.504), (3.56, 0.507))"
"('grid4FR', 'U1S', 'BFS', False)",3.56,0.38562405100000063,"((3.56, 0.38562405100000063),)"
"('grid4FR', 'U1S', 'BNB', False)",3.56,0.2263182360000009,"((3.56, 0.2263182360000009),)"
