run,final result,time,result,states
"('i_9_6_7_2_10_FR', 'U1D', 'MCTS', True)",4.25,15.312,"((1.49, 0.003), (3.2, 0.114), (3.3, 0.229), (3.3, 0.296), (3.3, 0.361), (3.3, 0.427), (3.3, 0.487), (3.3, 0.548), (3.3, 0.61), (3.3, 0.672), (3.3, 0.734), (3.3, 0.795), (3.3, 0.856), (3.3, 0.92), (3.3, 0.983), (3.3, 1.045), (3.3, 1.105), (3.3, 1.168), (3.3, 1.228), (3.3, 1.29), (3.3, 1.353), (3.3, 1.415), (3.3, 1.477), (3.3, 1.539), (3.3, 1.599), (3.3, 1.662), (3.3, 1.724), (3.3, 1.789), (3.3, 1.859), (3.3, 1.933), (3.3, 2.006), (3.3, 2.088), (3.3, 2.203), (3.3, 2.288), (3.3, 2.385), (3.3, 2.495), (3.3, 2.643), (3.3, 2.789), (3.3, 2.995), (3.3, 3.171), (3.3, 3.351), (3.3, 3.582), (3.3, 3.768), (3.3, 3.973), (3.3, 4.221), (3.3, 4.413), (3.3, 4.624), (3.3, 4.932), (3.3, 5.169), (3.3, 5.425), (3.3, 5.692), (3.3, 6.072), (3.3, 6.364), (3.3, 6.64), (3.3, 7.026), (3.3, 7.289), (3.3, 7.55), (3.3, 7.814), (4.31, 8.057), (4.31, 8.43), (4.31, 8.682), (4.25, 8.901), (4.25, 9.156), (4.25, 9.425), (4.25, 9.644), (4.25, 9.863), (4.25, 10.247), (4.25, 10.469), (4.25, 10.648), (4.25, 10.859), (4.25, 11.068), (4.25, 11.245), (4.25, 11.43), (4.25, 11.62), (4.25, 11.787), (4.25, 11.97), (4.25, 12.144), (4.25, 12.3), (4.25, 12.671), (4.25, 12.798), (4.25, 12.965), (4.25, 13.102), (4.25, 13.26), (4.25, 13.424), (4.25, 13.609), (4.25, 13.758), (4.25, 13.891), (4.25, 14.017), (4.25, 14.135), (4.25, 14.242), (4.25, 14.342), (4.25, 14.44), (4.25, 14.535), (4.25, 14.656), (4.25, 14.763), (4.25, 14.882), (4.25, 15.008), (4.25, 15.086), (4.25, 15.172), (4.25, 15.241), (4.25, 15.312))",5000
"('i_9_6_7_2_10_FR', 'U1S', 'MCTS', True)",3.3,-,"((1.49, 0.02), (1.49, 0.544), (1.49, 1.192), (5.02, 1.358), (5.02, 1.528), (5.02, 1.706), (5.02, 1.878), (3.3, 2.05), (3.3, 2.235), (3.3, 2.408), (3.3, 2.573), (3.3, 2.749), (3.3, 2.924), (3.3, 3.1), (3.3, 3.286), (3.3, 3.461), (3.3, 3.634), (3.3, 3.819), (3.3, 3.986), (3.3, 4.163), (3.3, 4.331), (3.3, 4.522), (3.3, 4.696), (3.3, 4.872), (3.3, 5.053), (3.3, 5.225), (3.3, 5.445), (3.3, 5.756), (3.3, 6.04), (3.3, 6.35), (3.3, 6.626), (3.3, 6.923), (3.3, 7.288), (3.3, 7.598), (3.3, 7.975), (3.3, 8.406), (3.3, 9.123), (3.3, 9.938), (3.3, 10.858), (3.3, 12.392), (3.3, 13.312), (3.3, 14.269), (3.3, 15.189), (3.3, 16.086), (3.3, 17.12), (3.3, 18.025), (3.3, 19.079), (3.3, 20.257), (3.3, 21.689), (3.3, 23.104), (3.3, 24.649), (3.3, 26.185), (3.3, 27.717), (3.3, 29.282), (3.3, 30.757), (3.3, 32.208), (3.3, 33.671), (3.3, 35.198), (3.3, 36.607), (3.3, 38.022), (3.3, 39.416), (3.3, 40.689), (3.3, 42.101), (3.3, 43.693), (3.3, 45.05), (3.3, 46.353), (3.3, 47.657), (3.3, 48.877), (3.3, 50.069), (3.3, 51.147), (3.3, 52.321), (3.3, 53.402), (3.3, 54.803), (3.3, 55.883), (3.3, 56.755), (3.3, 57.587), (3.3, 58.536), (3.3, 59.329))",3894
"('i_9_6_7_2_10_FR', 'U1S', 'BFS', True)",11.17,-,"((11.17, 60.09),)",28356
"('i_9_6_7_2_10_FR', 'U1S', 'BNB', True)",9.26,-,"((9.26, 61.208),)",1668
"('i_9_6_7_2_10_FR', 'U1S', 'BNBL', True)",11.17,-,"((11.17, 60.169),)",20148
"('i_9_6_7_2_10_FR', 'U1D', 'MCTS', False)",12.3,7.274,"((1.49, 0.002), (7.84, 0.056), (7.84, 0.107), (7.84, 0.176), (7.84, 0.38), (9.07, 0.456), (9.07, 0.523), (9.07, 0.575), (9.07, 0.623), (9.07, 0.67), (9.07, 0.716), (9.07, 0.762), (9.07, 0.807), (9.07, 0.853), (9.07, 0.899), (12.41, 0.944), (12.41, 0.99), (12.41, 1.036), (12.41, 1.082), (12.41, 1.131), (12.41, 1.179), (12.41, 1.226), (12.41, 1.271), (12.41, 1.323), (12.41, 1.372), (12.41, 1.418), (12.41, 1.47), (12.41, 1.526), (12.41, 1.574), (12.41, 1.632), (12.41, 1.688), (12.41, 1.747), (12.41, 1.806), (12.41, 1.871), (12.41, 1.938), (12.41, 2.002), (12.41, 2.076), (12.41, 2.146), (12.41, 2.259), (12.41, 2.34), (12.41, 2.418), (12.41, 2.498), (12.41, 2.578), (12.41, 2.666), (12.41, 2.745), (12.41, 2.826), (12.41, 2.962), (12.41, 3.042), (12.41, 3.131), (12.41, 3.215), (12.41, 3.298), (12.41, 3.389), (12.41, 3.482), (12.41, 3.574), (12.41, 3.731), (12.41, 3.818), (12.41, 3.911), (12.41, 3.993), (12.41, 4.089), (12.41, 4.176), (12.41, 4.266), (12.41, 4.346), (12.41, 4.435), (12.41, 4.515), (12.41, 4.679), (12.41, 4.766), (12.41, 4.847), (12.41, 4.925), (12.41, 5.013), (12.41, 5.101), (12.41, 5.188), (12.41, 5.267), (12.41, 5.35), (12.41, 5.431), (12.41, 5.502), (12.41, 5.581), (12.41, 5.657), (12.41, 5.732), (12.41, 5.8), (12.41, 5.869), (12.41, 6.02), (12.41, 6.096), (12.41, 6.175), (12.41, 6.24), (12.41, 6.31), (12.41, 6.374), (12.41, 6.454), (12.41, 6.513), (12.41, 6.571), (12.41, 6.629), (12.41, 6.692), (12.41, 6.755), (12.3, 6.812), (12.3, 6.875), (12.3, 6.937), (12.3, 6.989), (12.3, 7.055), (12.3, 7.114), (12.3, 7.164), (12.3, 7.22), (12.3, 7.274))",5000
"('i_9_6_7_2_10_FR', 'U1S', 'MCTS', False)",10.63,49.688,"((1.49, 0.014), (4.62, 0.39), (4.62, 0.674), (6.43, 1.222), (6.43, 2.025), (6.43, 2.69), (6.43, 3.161), (6.43, 3.42), (6.43, 3.675), (6.43, 3.92), (6.43, 4.162), (6.43, 4.414), (10.49, 4.661), (10.49, 4.914), (10.49, 5.161), (10.49, 5.406), (10.49, 5.655), (10.49, 5.897), (10.49, 6.142), (10.49, 6.396), (10.49, 6.637), (10.49, 6.902), (10.63, 7.166), (10.63, 7.432), (10.63, 7.725), (10.63, 8.025), (10.63, 8.341), (10.63, 8.676), (10.63, 9.003), (10.63, 9.369), (10.63, 9.756), (10.63, 10.163), (10.63, 10.551), (10.63, 11.035), (10.63, 11.541), (10.63, 12.064), (10.63, 12.578), (10.63, 13.096), (10.63, 13.6), (10.63, 14.136), (10.63, 14.734), (10.63, 15.318), (10.63, 15.966), (10.63, 16.867), (10.63, 17.464), (10.63, 18.136), (10.63, 18.871), (10.63, 19.499), (10.63, 20.186), (10.63, 20.988), (10.63, 21.667), (10.63, 22.374), (10.63, 23.156), (10.63, 23.885), (10.63, 24.515), (10.63, 25.202), (10.63, 25.895), (10.63, 26.635), (10.63, 27.422), (10.63, 28.169), (10.63, 28.815), (10.63, 29.528), (10.63, 30.13), (10.63, 30.796), (10.63, 31.46), (10.63, 32.227), (10.63, 32.913), (10.63, 33.586), (10.63, 34.247), (10.63, 34.794), (10.63, 35.436), (10.63, 35.997), (10.63, 36.558), (10.63, 37.196), (10.63, 37.725), (10.63, 38.412), (10.63, 38.988), (10.63, 39.546), (10.63, 40.118), (10.63, 40.687), (10.63, 41.194), (10.63, 41.762), (10.63, 42.247), (10.63, 42.74), (10.63, 43.234), (10.63, 43.674), (10.63, 44.132), (10.63, 44.593), (10.63, 45.014), (10.63, 45.463), (10.63, 45.932), (10.63, 46.341), (10.63, 46.804), (10.63, 47.182), (10.63, 47.583), (10.63, 48.009), (10.63, 48.404), (10.63, 48.681), (10.63, 49.046), (10.63, 49.361), (10.63, 49.688))",5000
"('i_9_6_7_2_10_FR', 'U1S', 'BFS', False)",14.49,-,"((14.49, 60.028),)",18132
"('i_9_6_7_2_10_FR', 'U1S', 'BNB', False)",12.41,-,"((12.41, 60.256),)",2288
"('i_9_6_7_2_10_FR', 'U1S', 'BNBL', False)",14.49,-,"((14.49, 60.023),)",12599
