run,final result,time,result,states
"('i_3_3_3_4_6_MT', 'U1D', 'MCTS', True)",0.08,-,"((0.02, 0.098), (0.08, 0.472), (0.08, 0.891), (0.02, 1.352), (0.02, 1.774), (0.02, 2.224), (0.02, 2.599), (0.02, 3.062), (0.02, 3.522), (0.02, 3.97), (0.02, 4.438), (0.02, 4.989), (0.02, 5.567), (0.02, 6.098), (0.02, 6.556), (0.02, 7.068), (0.02, 7.577), (0.02, 8.153), (0.02, 8.641), (0.02, 9.116), (0.02, 9.647), (0.02, 10.18), (0.02, 10.689), (0.02, 11.184), (0.02, 11.688), (0.02, 12.209), (0.08, 13.992), (0.08, 31.771), (0.08, 46.43))",1443
"('i_3_3_3_4_6_MT', 'U1S', 'MCTS', True)",0.08,-,"((0.02, 0.518), (0.14, 1.41), (0.08, 5.354), (0.14, 6.608), (0.14, 7.921), (0.14, 9.144), (0.14, 10.451), (0.14, 11.772), (0.14, 13.138), (0.08, 14.42), (0.08, 15.754), (0.08, 17.084), (0.08, 18.427), (0.08, 19.818), (0.14, 21.091), (0.14, 22.465), (0.14, 23.847), (0.14, 25.197), (0.14, 26.552), (0.14, 27.851), (0.14, 29.255), (0.14, 30.611), (0.08, 31.925), (0.08, 33.197), (0.08, 34.611), (0.08, 35.929), (0.08, 43.753))",1316
"('i_3_3_3_4_6_MT', 'U1S', 'BFS', True)",0.41,-,"((0.41, 61.883),)",47376
"('i_3_3_3_4_6_MT', 'U1S', 'BNB', True)",0.41,-,"((0.41, 60.437),)",28368
"('i_3_3_3_4_6_MT', 'U1S', 'BNBL', True)",0.41,-,"((0.41, 60.372),)",43344
"('i_3_3_3_4_6_MT', 'U1D', 'MCTS', False)",0.14,7.61,"((0.02, 0.007), (0.08, 0.074), (0.14, 0.469), (0.14, 1.55), (0.14, 1.98), (0.14, 2.036), (0.14, 2.092), (0.14, 2.147), (0.14, 2.205), (0.14, 2.263), (0.14, 2.32), (0.14, 2.379), (0.14, 2.436), (0.14, 2.493), (0.14, 2.551), (0.14, 2.609), (0.14, 2.666), (0.14, 2.724), (0.14, 2.78), (0.14, 2.837), (0.14, 2.894), (0.14, 2.952), (0.14, 3.01), (0.14, 3.07), (0.14, 3.126), (0.14, 3.185), (0.14, 3.244), (0.14, 3.303), (0.14, 3.363), (0.14, 3.42), (0.14, 3.48), (0.14, 3.538), (0.14, 3.597), (0.14, 3.657), (0.14, 3.713), (0.14, 3.772), (0.14, 3.832), (0.14, 3.891), (0.14, 3.95), (0.14, 4.01), (0.14, 4.069), (0.14, 4.127), (0.14, 4.185), (0.14, 4.244), (0.14, 4.301), (0.14, 4.358), (0.14, 4.415), (0.14, 4.473), (0.14, 4.532), (0.14, 4.59), (0.14, 4.648), (0.14, 4.704), (0.14, 4.763), (0.14, 4.822), (0.14, 4.878), (0.14, 4.936), (0.14, 4.994), (0.14, 5.051), (0.14, 5.107), (0.14, 5.167), (0.14, 5.224), (0.14, 5.28), (0.14, 5.337), (0.14, 5.397), (0.14, 5.454), (0.14, 5.511), (0.14, 5.569), (0.14, 5.626), (0.14, 5.685), (0.14, 5.743), (0.14, 5.802), (0.14, 5.858), (0.14, 5.916), (0.14, 5.972), (0.14, 6.031), (0.14, 6.09), (0.14, 6.148), (0.14, 6.204), (0.14, 6.263), (0.14, 6.323), (0.14, 6.382), (0.14, 6.444), (0.14, 6.505), (0.14, 6.567), (0.14, 6.627), (0.14, 6.688), (0.14, 6.749), (0.14, 6.809), (0.14, 6.872), (0.14, 6.935), (0.14, 6.996), (0.14, 7.056), (0.14, 7.117), (0.14, 7.18), (0.14, 7.242), (0.14, 7.304), (0.14, 7.366), (0.14, 7.427), (0.14, 7.489), (0.14, 7.55), (0.14, 7.61))",5000
"('i_3_3_3_4_6_MT', 'U1S', 'MCTS', False)",0.16,23.622,"((0.02, 0.057), (0.14, 0.237), (0.14, 3.019), (0.14, 8.906), (0.14, 10.229), (0.14, 10.367), (0.14, 10.505), (0.14, 10.643), (0.14, 10.78), (0.14, 10.922), (0.14, 11.061), (0.14, 11.204), (0.14, 11.343), (0.39, 11.479), (0.41, 11.622), (0.34, 11.764), (0.34, 11.902), (0.34, 12.041), (0.34, 12.179), (0.34, 12.316), (0.34, 12.453), (0.34, 12.593), (0.34, 12.733), (0.34, 12.87), (0.34, 13.012), (0.16, 13.15), (0.16, 13.288), (0.16, 13.428), (0.16, 13.568), (0.16, 13.711), (0.16, 13.856), (0.16, 13.997), (0.16, 14.135), (0.16, 14.276), (0.16, 14.413), (0.16, 14.551), (0.16, 14.691), (0.16, 14.829), (0.16, 14.969), (0.16, 15.109), (0.16, 15.25), (0.16, 15.39), (0.16, 15.529), (0.16, 15.669), (0.16, 15.809), (0.16, 15.942), (0.16, 16.078), (0.16, 16.214), (0.16, 16.356), (0.16, 16.497), (0.16, 16.636), (0.16, 16.774), (0.16, 16.912), (0.16, 17.051), (0.16, 17.194), (0.16, 17.335), (0.16, 17.476), (0.16, 17.612), (0.16, 17.75), (0.16, 17.89), (0.16, 18.033), (0.16, 18.171), (0.16, 18.309), (0.16, 18.448), (0.16, 18.587), (0.16, 18.728), (0.16, 18.868), (0.16, 19.01), (0.16, 19.15), (0.16, 19.293), (0.16, 19.433), (0.16, 19.567), (0.16, 19.705), (0.16, 19.847), (0.16, 19.988), (0.16, 20.13), (0.16, 20.272), (0.16, 20.412), (0.16, 20.554), (0.16, 20.697), (0.16, 20.839), (0.16, 20.98), (0.16, 21.123), (0.16, 21.263), (0.16, 21.404), (0.16, 21.545), (0.16, 21.686), (0.16, 21.827), (0.16, 21.97), (0.16, 22.109), (0.16, 22.243), (0.16, 22.381), (0.16, 22.523), (0.16, 22.657), (0.16, 22.796), (0.16, 22.932), (0.16, 23.07), (0.16, 23.21), (0.16, 23.348), (0.16, 23.487), (0.16, 23.622))",5000
"('i_3_3_3_4_6_MT', 'U1S', 'BFS', False)",0.48,-,"((0.48, 60.38),)",35540
"('i_3_3_3_4_6_MT', 'U1S', 'BNB', False)",0.42,-,"((0.42, 60.502),)",23490
"('i_3_3_3_4_6_MT', 'U1S', 'BNBL', False)",0.48,-,"((0.48, 60.17),)",32588
