run,final result,time,result,states
"('i_15_16_16_3_24_MT', 'U1D', 'MCTS', True)",0.0,-,"((0.0, 0.033), (0.0, 0.72), (0.0, 1.414), (0.0, 2.085), (0.0, 2.782), (0.0, 4.771), (0.0, 7.424), (0.0, 10.861), (0.0, 14.038), (0.0, 16.386), (0.0, 17.013), (0.0, 17.653), (0.0, 18.299), (0.0, 18.944), (0.0, 19.583), (0.0, 20.232), (0.0, 20.887), (0.0, 21.81), (0.0, 22.465), (0.0, 23.113), (0.0, 23.766), (0.0, 24.432), (0.0, 25.08), (0.0, 25.709), (0.0, 26.354), (0.0, 27.006), (0.0, 27.656), (0.0, 28.31), (0.0, 28.955), (0.0, 29.603), (0.0, 30.244), (0.0, 30.884), (0.0, 31.526), (0.0, 32.178), (0.0, 32.825), (0.0, 33.469), (0.0, 34.375), (0.0, 35.026), (0.0, 35.67), (0.0, 36.306), (0.0, 36.941), (0.0, 37.578), (0.0, 38.228), (0.0, 38.885), (0.0, 39.52), (0.0, 40.168), (0.0, 40.821), (0.0, 41.458), (0.0, 42.106), (0.0, 42.76), (0.0, 43.419), (0.0, 44.063), (0.0, 44.71), (0.0, 45.354), (0.0, 46.279), (0.0, 46.95), (0.0, 47.605), (0.0, 48.247), (0.0, 48.891), (0.0, 49.534), (0.0, 50.167), (0.0, 50.807), (0.0, 51.433), (0.0, 52.071), (0.0, 52.727), (0.0, 53.348), (0.0, 53.989), (0.0, 54.655), (0.0, 55.307), (0.0, 55.961), (0.0, 56.615), (0.0, 57.261), (0.0, 58.228), (0.0, 58.877), (0.0, 59.519))",3739
"('i_15_16_16_3_24_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 0.152), (0.0, 1.388), (0.0, 2.633), (0.0, 3.885), (0.0, 5.183), (0.0, 14.179), (0.0, 25.442), (0.0, 39.652), (0.0, 53.925))",423
"('i_15_16_16_3_24_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 60.712),)",18072
"('i_15_16_16_3_24_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 82.862),)",216
"('i_15_16_16_3_24_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 60.603),)",7896
"('i_15_16_16_3_24_MT', 'U1D', 'MCTS', False)",0.0,51.149,"((0.0, 0.012), (0.0, 0.519), (0.0, 0.93), (0.0, 1.32), (0.0, 1.714), (0.0, 2.108), (0.0, 2.499), (0.0, 2.889), (0.0, 3.285), (0.0, 3.682), (0.0, 4.083), (0.0, 4.479), (0.0, 4.877), (0.0, 5.272), (0.0, 5.669), (0.0, 6.065), (0.0, 6.468), (0.0, 6.87), (0.0, 7.275), (0.0, 7.675), (0.0, 8.076), (0.0, 8.6), (0.0, 9.07), (0.0, 9.556), (0.0, 10.03), (0.0, 10.504), (0.0, 11.008), (0.0, 11.542), (0.0, 12.221), (0.0, 12.871), (0.0, 13.605), (0.0, 14.235), (0.0, 14.856), (0.0, 15.569), (0.0, 16.207), (0.0, 16.839), (0.0, 17.725), (0.0, 18.498), (0.0, 19.414), (0.0, 20.212), (0.0, 20.921), (0.0, 21.597), (0.0, 22.402), (0.0, 23.119), (0.0, 23.796), (0.0, 24.511), (0.0, 25.21), (0.0, 26.143), (0.0, 26.861), (0.0, 27.582), (0.0, 28.267), (0.0, 28.978), (0.0, 29.685), (0.0, 30.28), (0.0, 30.792), (0.0, 31.513), (0.0, 32.038), (0.0, 32.545), (0.0, 33.039), (0.0, 33.529), (0.0, 34.05), (0.0, 34.555), (0.0, 35.073), (0.0, 35.594), (0.0, 36.116), (0.0, 36.64), (0.0, 37.174), (0.0, 37.698), (0.0, 38.219), (0.0, 38.723), (0.0, 39.211), (0.0, 39.603), (0.0, 39.994), (0.0, 40.379), (0.0, 40.772), (0.0, 41.162), (0.0, 41.551), (0.0, 41.942), (0.0, 42.341), (0.0, 42.739), (0.0, 43.137), (0.0, 43.536), (0.0, 43.934), (0.0, 44.334), (0.0, 44.734), (0.0, 45.135), (0.0, 45.529), (0.0, 45.926), (0.0, 46.322), (0.0, 46.717), (0.0, 47.115), (0.0, 47.515), (0.0, 47.916), (0.0, 48.314), (0.0, 48.705), (0.0, 49.112), (0.0, 49.521), (0.0, 49.931), (0.0, 50.339), (0.0, 50.749), (0.0, 51.149))",5000
"('i_15_16_16_3_24_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.043), (0.0, 1.891), (0.0, 2.969), (0.0, 3.889), (0.0, 4.826), (0.0, 5.754), (0.0, 6.689), (0.0, 7.622), (0.0, 8.547), (0.0, 9.482), (0.0, 10.41), (0.0, 11.338), (0.0, 12.264), (0.0, 13.209), (0.0, 14.158), (0.0, 15.091), (0.0, 16.102), (0.0, 17.107), (0.0, 18.092), (0.0, 19.077), (0.0, 20.078), (0.0, 21.514), (0.0, 22.894), (0.0, 24.362), (0.0, 25.751), (0.0, 27.262), (0.0, 28.635), (0.0, 30.68), (0.0, 33.756), (0.0, 36.173), (0.0, 38.689), (0.0, 41.129), (0.0, 43.55), (0.0, 45.937), (0.0, 48.278), (0.0, 50.687), (0.0, 53.692), (0.0, 56.955))",1898
"('i_15_16_16_3_24_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 60.127),)",13505
"('i_15_16_16_3_24_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 68.495),)",162
"('i_15_16_16_3_24_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 60.151),)",6013
