run,final result,time,result,states
"('i_3_3_2_5_4_MT', 'U1D', 'MCTS', True)",0.02,-,"((0.02, 0.686), (0.02, 1.778), (0.02, 2.915), (0.02, 4.086), (0.02, 5.561), (0.02, 6.907), (0.02, 8.026), (0.02, 9.16), (0.02, 10.651), (0.02, 11.997), (0.02, 13.169), (0.02, 14.296), (0.02, 15.568), (0.02, 17.132), (0.02, 18.213), (0.02, 19.416), (0.02, 20.582), (0.02, 22.084), (0.02, 23.699), (0.02, 25.174), (0.02, 26.723), (0.02, 28.716), (0.02, 30.518), (0.02, 32.105), (0.02, 33.619), (0.02, 35.369), (0.02, 37.445), (0.02, 38.585), (0.02, 39.769), (0.02, 41.01), (0.02, 42.505), (0.02, 43.785), (0.02, 44.909), (0.02, 46.076), (0.02, 47.619), (0.02, 49.007), (0.02, 50.202), (0.02, 51.352), (0.02, 52.727), (0.02, 54.284), (0.02, 55.439), (0.02, 56.645), (0.02, 57.912), (0.02, 59.491))",2166
"('i_3_3_2_5_4_MT', 'U1S', 'MCTS', True)",0.02,-,"((0.02, 3.709), (0.02, 7.746), (0.02, 11.992), (0.02, 16.429), (0.02, 21.179), (0.02, 25.649), (0.02, 30.051), (0.02, 34.308), (0.02, 38.928), (0.02, 43.473), (0.02, 47.645), (0.02, 51.77), (0.02, 56.144))",641
"('i_3_3_2_5_4_MT', 'U1S', 'BFS', True)",0.33,-,"((0.33, 72.461),)",49248
"('i_3_3_2_5_4_MT', 'U1S', 'BNB', True)",0.35,-,"((0.35, 73.97),)",38880
"('i_3_3_2_5_4_MT', 'U1S', 'BNBL', True)",0.1,-,"((0.1, 61.169),)",38880
"('i_3_3_2_5_4_MT', 'U1D', 'MCTS', False)",0.34,17.802,"((0.02, 0.02), (0.08, 0.072), (0.08, 0.128), (0.08, 0.183), (0.08, 0.244), (0.08, 0.896), (0.08, 3.78), (0.08, 6.149), (0.08, 8.495), (0.08, 11.559), (0.08, 14.238), (0.08, 14.276), (0.08, 14.315), (0.08, 14.353), (0.08, 14.391), (0.08, 14.431), (0.08, 14.472), (0.08, 14.513), (0.08, 14.553), (0.08, 14.592), (0.08, 14.631), (0.08, 14.67), (0.1, 14.709), (0.1, 14.75), (0.1, 14.79), (0.1, 14.831), (0.1, 14.87), (0.1, 14.91), (0.1, 14.951), (0.1, 14.99), (0.1, 15.028), (0.1, 15.069), (0.1, 15.108), (0.1, 15.149), (0.34, 15.187), (0.34, 15.225), (0.34, 15.263), (0.34, 15.303), (0.34, 15.342), (0.34, 15.381), (0.34, 15.42), (0.34, 15.459), (0.34, 15.5), (0.34, 15.539), (0.34, 15.579), (0.34, 15.619), (0.34, 15.659), (0.34, 15.7), (0.34, 15.74), (0.34, 15.779), (0.34, 15.818), (0.34, 15.856), (0.34, 15.895), (0.34, 15.934), (0.34, 15.974), (0.34, 16.013), (0.34, 16.053), (0.34, 16.093), (0.34, 16.133), (0.34, 16.173), (0.34, 16.214), (0.34, 16.254), (0.34, 16.292), (0.34, 16.332), (0.34, 16.371), (0.34, 16.41), (0.34, 16.449), (0.34, 16.488), (0.34, 16.528), (0.34, 16.567), (0.34, 16.607), (0.34, 16.646), (0.34, 16.686), (0.34, 16.726), (0.34, 16.766), (0.34, 16.805), (0.34, 16.845), (0.34, 16.886), (0.34, 16.926), (0.34, 16.966), (0.34, 17.006), (0.34, 17.046), (0.34, 17.085), (0.34, 17.124), (0.34, 17.165), (0.34, 17.203), (0.34, 17.244), (0.34, 17.284), (0.34, 17.324), (0.34, 17.365), (0.34, 17.405), (0.34, 17.444), (0.34, 17.484), (0.34, 17.524), (0.34, 17.563), (0.34, 17.603), (0.34, 17.644), (0.34, 17.683), (0.34, 17.724), (0.34, 17.763), (0.34, 17.802))",5000
"('i_3_3_2_5_4_MT', 'U1S', 'MCTS', False)",0.08,-,"((0.02, 0.185), (0.08, 0.343), (0.08, 0.508), (0.08, 0.671), (0.08, 0.842), (0.08, 3.855), (0.08, 21.513), (0.08, 40.136), (0.08, 54.264))",422
"('i_3_3_2_5_4_MT', 'U1S', 'BFS', False)",0.35,-,"((0.35, 60.569),)",31863
"('i_3_3_2_5_4_MT', 'U1S', 'BNB', False)",0.35,-,"((0.35, 60.753),)",26193
"('i_3_3_2_5_4_MT', 'U1S', 'BNBL', False)",0.35,-,"((0.35, 61.106),)",30243
