run,final result,time,result,states
"('i_3_2_2_4_4_FR', 'U1D', 'MCTS', True)",1.2,-,"((0.8, 0.086), (0.8, 0.207), (0.8, 0.302), (0.8, 0.398), (1.2, 0.492), (1.2, 0.588), (1.2, 0.708), (1.2, 0.805), (1.2, 0.902), (1.2, 0.999), (1.2, 1.126), (1.2, 1.229), (1.2, 1.328), (1.2, 1.428), (1.2, 1.529), (1.2, 1.654), (1.2, 1.755), (1.2, 1.858), (1.2, 1.962), (1.2, 2.064), (1.2, 2.196), (1.2, 2.298), (1.2, 2.4), (1.2, 2.502), (1.2, 2.628), (1.2, 2.732), (1.2, 3.544), (1.2, 11.092), (1.2, 18.787), (1.2, 25.859), (1.2, 34.058), (1.2, 41.747), (1.2, 48.221), (1.2, 56.215))",1679
"('i_3_2_2_4_4_FR', 'U1S', 'MCTS', True)",0.95,-,"((0.8, 0.506), (0.8, 0.762), (0.8, 1.024), (0.8, 1.291), (0.8, 1.552), (0.8, 1.824), (0.8, 2.101), (0.8, 2.369), (0.8, 2.638), (0.8, 2.904), (0.8, 3.177), (0.8, 3.452), (0.8, 3.728), (0.8, 3.994), (0.95, 4.272), (0.95, 4.546), (0.95, 4.824), (0.95, 5.107), (0.95, 5.39), (0.95, 5.666), (0.95, 5.94), (0.95, 6.215), (0.95, 6.498), (0.95, 6.786), (0.95, 7.071), (0.95, 7.351), (0.95, 10.031), (0.95, 34.817), (0.95, 59.499))",1402
"('i_3_2_2_4_4_FR', 'U1S', 'BFS', True)",1.56,-,"((1.56, 61.071),)",47952
"('i_3_2_2_4_4_FR', 'U1S', 'BNB', True)",1.2,-,"((1.2, 61.525),)",34992
"('i_3_2_2_4_4_FR', 'U1S', 'BNBL', True)",1.56,-,"((1.56, 61.474),)",46656
"('i_3_2_2_4_4_FR', 'U1D', 'MCTS', False)",1.05,3.355,"((0.8, 0.006), (0.95, 0.036), (1.2, 0.219), (1.2, 0.62), (1.2, 0.712), (1.2, 0.762), (1.2, 0.788), (1.2, 0.815), (1.2, 0.842), (1.2, 0.87), (1.2, 0.898), (1.2, 0.925), (1.05, 0.953), (1.05, 0.979), (1.05, 1.004), (1.05, 1.03), (1.05, 1.057), (1.05, 1.083), (1.05, 1.109), (1.05, 1.136), (1.05, 1.163), (1.05, 1.19), (1.05, 1.216), (1.05, 1.242), (1.05, 1.267), (1.05, 1.293), (1.05, 1.321), (1.05, 1.349), (1.05, 1.377), (1.05, 1.405), (1.05, 1.432), (1.05, 1.46), (1.05, 1.488), (1.05, 1.515), (1.05, 1.543), (1.05, 1.571), (1.05, 1.598), (1.05, 1.624), (1.05, 1.65), (1.05, 1.676), (1.05, 1.703), (1.05, 1.731), (1.05, 1.758), (1.05, 1.784), (1.05, 1.811), (1.05, 1.839), (1.05, 1.866), (1.05, 1.893), (1.05, 1.919), (1.05, 1.947), (1.05, 1.974), (1.05, 2.002), (1.05, 2.03), (1.05, 2.058), (1.05, 2.085), (1.05, 2.112), (1.05, 2.141), (1.05, 2.168), (1.05, 2.197), (1.05, 2.223), (1.05, 2.252), (1.05, 2.28), (1.05, 2.309), (1.05, 2.337), (1.05, 2.363), (1.05, 2.392), (1.05, 2.419), (1.05, 2.445), (1.05, 2.473), (1.05, 2.5), (1.05, 2.528), (1.05, 2.554), (1.05, 2.581), (1.05, 2.607), (1.05, 2.633), (1.05, 2.661), (1.05, 2.688), (1.05, 2.716), (1.05, 2.744), (1.05, 2.772), (1.05, 2.8), (1.05, 2.827), (1.05, 2.855), (1.05, 2.883), (1.05, 2.911), (1.05, 2.939), (1.05, 2.967), (1.05, 2.995), (1.05, 3.022), (1.05, 3.05), (1.05, 3.078), (1.05, 3.106), (1.05, 3.133), (1.05, 3.16), (1.05, 3.187), (1.05, 3.215), (1.05, 3.243), (1.05, 3.271), (1.05, 3.299), (1.05, 3.327), (1.05, 3.355))",5000
"('i_3_2_2_4_4_FR', 'U1S', 'MCTS', False)",0.95,10.431,"((0.8, 0.054), (0.95, 0.145), (0.95, 1.536), (0.95, 4.249), (0.95, 4.888), (1.31, 4.946), (1.31, 5.004), (1.31, 5.061), (1.31, 5.118), (0.95, 5.175), (0.95, 5.233), (1.31, 5.29), (1.31, 5.348), (1.31, 5.406), (1.31, 5.463), (1.31, 5.52), (1.31, 5.578), (1.31, 5.636), (1.31, 5.693), (1.31, 5.752), (1.31, 5.81), (1.31, 5.869), (1.31, 5.927), (1.31, 5.984), (1.31, 6.042), (1.31, 6.1), (1.31, 6.158), (1.31, 6.217), (1.31, 6.275), (1.31, 6.333), (1.31, 6.391), (1.31, 6.449), (1.31, 6.507), (1.31, 6.565), (1.31, 6.621), (1.31, 6.679), (1.31, 6.737), (1.31, 6.794), (1.31, 6.852), (1.31, 6.909), (1.31, 6.965), (1.31, 7.022), (1.31, 7.08), (1.31, 7.136), (1.31, 7.194), (1.31, 7.253), (1.31, 7.31), (1.31, 7.368), (0.95, 7.426), (0.95, 7.484), (0.95, 7.542), (0.95, 7.598), (0.95, 7.654), (0.95, 7.712), (0.95, 7.77), (0.95, 7.828), (0.95, 7.887), (0.95, 7.944), (0.95, 8.003), (0.95, 8.06), (0.95, 8.119), (0.95, 8.178), (0.95, 8.236), (0.95, 8.295), (0.95, 8.354), (0.95, 8.412), (0.95, 8.471), (0.95, 8.529), (0.95, 8.588), (0.95, 8.647), (0.95, 8.705), (0.95, 8.764), (0.95, 8.823), (0.95, 8.882), (0.95, 8.94), (0.95, 8.999), (0.95, 9.058), (0.95, 9.117), (0.95, 9.174), (0.95, 9.232), (0.95, 9.291), (0.95, 9.35), (0.95, 9.406), (0.95, 9.462), (0.95, 9.52), (0.95, 9.577), (0.95, 9.633), (0.95, 9.69), (0.95, 9.748), (0.95, 9.805), (0.95, 9.862), (0.95, 9.918), (0.95, 9.976), (0.95, 10.032), (0.95, 10.09), (0.95, 10.147), (0.95, 10.204), (0.95, 10.262), (0.95, 10.318), (0.95, 10.375), (0.95, 10.431))",5000
"('i_3_2_2_4_4_FR', 'U1S', 'BFS', False)",1.56,-,"((1.56, 60.114),)",39366
"('i_3_2_2_4_4_FR', 'U1S', 'BNB', False)",1.2,-,"((1.2, 60.028),)",28431
"('i_3_2_2_4_4_FR', 'U1S', 'BNBL', False)",1.56,-,"((1.56, 60.045),)",41148
