run,final result,time,result,states
"('i_9_6_11_2_17_MT', 'U1D', 'MCTS', True)",0.0,26.835,"((0.0, 0.006), (0.0, 0.212), (0.0, 0.455), (0.0, 0.608), (0.0, 0.769), (0.0, 0.936), (0.0, 1.099), (0.0, 1.255), (0.0, 1.423), (0.0, 1.578), (0.0, 1.734), (0.0, 1.898), (0.0, 2.063), (0.0, 2.217), (0.0, 2.371), (0.0, 2.533), (0.0, 2.693), (0.0, 2.852), (0.0, 3.01), (0.0, 3.167), (0.0, 3.326), (0.0, 3.481), (0.0, 3.638), (0.0, 3.797), (0.0, 3.959), (0.0, 4.118), (0.0, 4.289), (0.0, 4.457), (0.0, 4.621), (0.0, 4.798), (0.0, 5.016), (0.0, 5.191), (0.0, 5.37), (0.0, 5.55), (0.0, 5.73), (0.0, 5.919), (0.0, 6.202), (0.0, 6.454), (0.0, 6.771), (0.0, 7.057), (0.0, 7.337), (0.0, 7.676), (0.0, 7.951), (0.0, 8.222), (0.0, 8.587), (0.0, 8.87), (0.0, 9.17), (0.0, 9.502), (0.0, 9.986), (0.0, 10.38), (0.0, 10.899), (0.0, 11.318), (0.0, 11.739), (0.0, 12.138), (0.0, 12.639), (0.0, 13.041), (0.0, 13.439), (0.0, 13.803), (0.0, 14.326), (0.0, 14.715), (0.0, 15.095), (0.0, 15.513), (0.0, 15.877), (0.0, 16.253), (0.0, 16.859), (0.0, 17.254), (0.0, 17.645), (0.0, 18.039), (0.0, 18.417), (0.0, 18.819), (0.0, 19.236), (0.0, 19.723), (0.0, 19.985), (0.0, 20.245), (0.0, 20.488), (0.0, 20.748), (0.0, 21.013), (0.0, 21.249), (0.0, 21.511), (0.0, 21.763), (0.0, 22.018), (0.0, 22.276), (0.0, 22.512), (0.0, 22.781), (0.0, 23.02), (0.0, 23.303), (0.0, 23.583), (0.0, 23.821), (0.0, 24.102), (0.0, 24.401), (0.0, 24.634), (0.0, 25.206), (0.0, 25.444), (0.0, 25.697), (0.0, 25.904), (0.0, 26.06), (0.0, 26.217), (0.0, 26.386), (0.0, 26.538), (0.0, 26.689), (0.0, 26.835))",5000
"('i_9_6_11_2_17_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 0.018), (0.0, 0.501), (0.0, 1.072), (0.0, 1.315), (0.0, 1.551), (0.0, 1.791), (0.0, 2.033), (0.0, 2.275), (0.0, 2.52), (0.0, 2.765), (0.0, 3.013), (0.0, 3.263), (0.0, 3.505), (0.0, 3.751), (0.0, 3.998), (0.0, 4.242), (0.0, 4.486), (0.0, 4.727), (0.0, 4.979), (0.0, 5.231), (0.0, 5.476), (0.0, 5.727), (0.0, 5.976), (0.0, 6.215), (0.0, 6.457), (0.0, 6.71), (0.0, 6.952), (0.0, 7.261), (0.0, 7.595), (0.0, 7.922), (0.0, 8.253), (0.0, 8.596), (0.0, 8.93), (0.0, 9.287), (0.0, 9.603), (0.0, 9.926), (0.0, 10.502), (0.0, 11.227), (0.0, 12.035), (0.0, 12.727), (0.0, 13.469), (0.0, 14.161), (0.0, 14.846), (0.0, 15.602), (0.0, 16.303), (0.0, 17.016), (0.0, 17.776), (0.0, 18.631), (0.0, 19.811), (0.0, 20.966), (0.0, 22.083), (0.0, 23.185), (0.0, 24.356), (0.0, 25.486), (0.0, 26.525), (0.0, 28.442), (0.0, 29.404), (0.0, 30.474), (0.0, 31.547), (0.0, 32.633), (0.0, 33.693), (0.0, 34.844), (0.0, 35.92), (0.0, 36.961), (0.0, 37.931), (0.0, 38.956), (0.0, 39.951), (0.0, 40.946), (0.0, 42.156), (0.0, 43.138), (0.0, 44.077), (0.0, 44.72), (0.0, 45.367), (0.0, 46.042), (0.0, 46.649), (0.0, 47.349), (0.0, 48.023), (0.0, 48.625), (0.0, 49.317), (0.0, 49.942), (0.0, 50.549), (0.0, 51.259), (0.0, 51.864), (0.0, 52.745), (0.0, 53.37), (0.0, 53.951), (0.0, 54.679), (0.0, 55.26), (0.0, 55.904), (0.0, 56.582), (0.0, 57.154), (0.0, 57.763), (0.0, 58.352), (0.0, 58.871), (0.0, 59.099), (0.0, 59.326), (0.0, 59.555), (0.0, 59.783))",4897
"('i_9_6_11_2_17_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 60.063),)",47812
"('i_9_6_11_2_17_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 61.153),)",1556
"('i_9_6_11_2_17_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 60.155),)",30916
"('i_9_6_11_2_17_MT', 'U1D', 'MCTS', False)",0.0,15.252,"((0.0, 0.004), (0.0, 0.137), (0.0, 0.268), (0.0, 0.421), (0.0, 0.598), (0.0, 0.757), (0.0, 0.905), (0.0, 1.029), (0.0, 1.153), (0.0, 1.276), (0.0, 1.402), (0.0, 1.524), (0.0, 1.647), (0.0, 1.77), (0.0, 1.893), (0.0, 2.014), (0.0, 2.138), (0.0, 2.267), (0.0, 2.391), (0.0, 2.517), (0.0, 2.642), (0.0, 2.771), (0.0, 2.896), (0.0, 3.025), (0.0, 3.15), (0.0, 3.279), (0.0, 3.411), (0.0, 3.7), (0.0, 3.835), (0.0, 3.969), (0.0, 4.11), (0.0, 4.259), (0.0, 4.404), (0.0, 4.545), (0.0, 4.688), (0.0, 4.837), (0.0, 4.985), (0.0, 5.142), (0.0, 5.297), (0.0, 5.451), (0.0, 5.607), (0.0, 5.807), (0.0, 5.966), (0.0, 6.119), (0.0, 6.282), (0.0, 6.438), (0.0, 6.595), (0.0, 6.759), (0.0, 6.926), (0.0, 7.146), (0.0, 7.321), (0.0, 7.491), (0.0, 7.665), (0.0, 7.832), (0.0, 8.001), (0.0, 8.185), (0.0, 8.348), (0.0, 8.573), (0.0, 8.739), (0.0, 8.911), (0.0, 9.072), (0.0, 9.239), (0.0, 9.402), (0.0, 9.575), (0.0, 9.73), (0.0, 9.896), (0.0, 10.064), (0.0, 10.234), (0.0, 10.481), (0.0, 10.647), (0.0, 10.807), (0.0, 10.966), (0.0, 11.118), (0.0, 11.271), (0.0, 11.433), (0.0, 11.58), (0.0, 11.742), (0.0, 11.901), (0.0, 12.042), (0.0, 12.199), (0.0, 12.353), (0.0, 12.497), (0.0, 12.648), (0.0, 12.802), (0.0, 12.95), (0.0, 13.198), (0.0, 13.348), (0.0, 13.499), (0.0, 13.65), (0.0, 13.79), (0.0, 13.927), (0.0, 14.067), (0.0, 14.205), (0.0, 14.337), (0.0, 14.477), (0.0, 14.605), (0.0, 14.734), (0.0, 14.864), (0.0, 14.994), (0.0, 15.121), (0.0, 15.252))",5000
"('i_9_6_11_2_17_MT', 'U1S', 'MCTS', False)",0.0,43.467,"((0.0, 0.012), (0.0, 0.386), (0.0, 0.716), (0.0, 1.177), (0.0, 1.787), (0.0, 2.328), (0.0, 2.77), (0.0, 3.081), (0.0, 3.39), (0.0, 3.701), (0.0, 4.011), (0.0, 4.32), (0.0, 4.633), (0.0, 4.945), (0.0, 5.261), (0.0, 5.574), (0.0, 5.883), (0.0, 6.191), (0.0, 6.505), (0.0, 6.812), (0.0, 7.128), (0.0, 7.437), (0.0, 7.754), (0.0, 8.096), (0.0, 8.426), (0.0, 8.76), (0.0, 9.11), (0.0, 9.433), (0.0, 9.781), (0.0, 10.175), (0.0, 10.588), (0.0, 10.969), (0.0, 11.403), (0.0, 11.799), (0.0, 12.203), (0.0, 12.64), (0.0, 13.052), (0.0, 13.489), (0.0, 13.981), (0.0, 14.495), (0.0, 15.015), (0.0, 15.547), (0.0, 16.042), (0.0, 16.489), (0.0, 16.971), (0.0, 17.45), (0.0, 17.939), (0.0, 18.436), (0.0, 18.967), (0.0, 19.5), (0.0, 20.29), (0.0, 20.886), (0.0, 21.433), (0.0, 22.008), (0.0, 22.548), (0.0, 23.073), (0.0, 23.544), (0.0, 24.053), (0.0, 24.513), (0.0, 25.031), (0.0, 25.537), (0.0, 26.028), (0.0, 26.608), (0.0, 27.099), (0.0, 27.715), (0.0, 28.214), (0.0, 28.759), (0.0, 29.265), (0.0, 29.802), (0.0, 30.314), (0.0, 30.825), (0.0, 31.348), (0.0, 31.844), (0.0, 32.295), (0.0, 32.719), (0.0, 33.194), (0.0, 33.602), (0.0, 34.045), (0.0, 34.493), (0.0, 34.965), (0.0, 35.386), (0.0, 35.829), (0.0, 36.301), (0.0, 36.7), (0.0, 37.168), (0.0, 37.598), (0.0, 38.106), (0.0, 38.541), (0.0, 38.991), (0.0, 39.382), (0.0, 39.813), (0.0, 40.181), (0.0, 40.585), (0.0, 40.975), (0.0, 41.356), (0.0, 41.751), (0.0, 42.087), (0.0, 42.442), (0.0, 42.781), (0.0, 43.123), (0.0, 43.467))",5000
"('i_9_6_11_2_17_MT', 'U1S', 'BFS', False)",0.01,-,"((0.01, 60.036),)",35878
"('i_9_6_11_2_17_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 60.492),)",1434
"('i_9_6_11_2_17_MT', 'U1S', 'BNBL', False)",0.01,-,"((0.01, 60.014),)",23170
