run,final result,time,result,states
"('i_15_13_13_3_27_FR', 'U1D', 'MCTS', True)",14.67,-,"((3.04, 0.034), (3.04, 0.745), (3.04, 1.473), (3.04, 2.231), (14.67, 2.964), (14.67, 5.285), (14.67, 8.471), (14.67, 11.446), (14.67, 14.674), (14.67, 16.12), (14.67, 17.1), (14.67, 17.931), (14.67, 18.976), (14.67, 19.681), (14.67, 20.359), (14.67, 21.057), (14.67, 21.767), (14.67, 22.457), (14.67, 23.171), (14.67, 23.877), (14.67, 24.578), (14.67, 25.279), (14.67, 25.983), (14.67, 26.677), (14.67, 27.355), (14.67, 28.328), (14.67, 29.023), (14.67, 29.701), (14.67, 30.388), (14.67, 31.075), (14.67, 31.761), (14.67, 32.451), (14.67, 33.148), (14.67, 33.84), (14.67, 34.532), (14.67, 35.212), (14.67, 35.899), (14.67, 36.596), (14.67, 37.283), (14.67, 38.239), (14.67, 38.939), (14.67, 39.636), (14.67, 40.324), (14.67, 41.024), (14.67, 41.711), (14.67, 42.405), (14.67, 43.098), (14.67, 43.793), (14.67, 44.499), (14.67, 45.201), (14.67, 45.885), (14.67, 46.583), (14.67, 47.573), (14.67, 48.275), (14.67, 48.982), (14.67, 49.685), (14.67, 50.395), (14.67, 51.081), (14.67, 51.798), (14.67, 52.502), (14.67, 53.198), (14.67, 53.912), (14.67, 54.617), (14.67, 55.319), (14.67, 56.336), (14.67, 57.04), (14.67, 57.746), (14.67, 58.448), (14.67, 59.155), (14.67, 59.844))",3462
"('i_15_13_13_3_27_FR', 'U1S', 'MCTS', True)",3.04,-,"((3.04, 0.316), (3.04, 2.277), (3.04, 4.258), (3.04, 6.261), (3.04, 8.92), (3.04, 27.283), (3.04, 50.299))",320
"('i_15_13_13_3_27_FR', 'U1S', 'BFS', True)",16.99,-,"((16.99, 60.241),)",12840
"('i_15_13_13_3_27_FR', 'U1S', 'BNB', True)",14.67,-,"((14.67, 88.517),)",216
"('i_15_13_13_3_27_FR', 'U1S', 'BNBL', True)",16.99,-,"((16.99, 62.439),)",7608
"('i_15_13_13_3_27_FR', 'U1D', 'MCTS', False)",14.1,50.515,"((3.04, 0.012), (8.83, 0.564), (8.83, 0.977), (8.83, 1.359), (15.29, 1.744), (15.29, 2.126), (9.01, 2.513), (9.01, 2.894), (9.01, 3.277), (9.01, 3.658), (9.01, 4.045), (9.01, 4.435), (9.01, 4.828), (15.11, 5.219), (15.11, 5.617), (15.11, 6.011), (15.11, 6.418), (15.11, 6.824), (15.11, 7.22), (15.11, 7.647), (15.11, 8.076), (15.11, 8.521), (15.11, 8.992), (15.11, 9.477), (11.2, 9.966), (11.2, 10.471), (11.2, 11.025), (11.2, 11.631), (11.2, 12.193), (11.2, 12.804), (11.2, 13.49), (11.2, 14.158), (11.2, 14.893), (11.2, 15.574), (11.2, 16.28), (11.2, 17.039), (11.2, 17.748), (11.2, 18.51), (11.2, 19.352), (11.2, 20.085), (11.2, 20.824), (11.2, 21.618), (11.2, 22.326), (11.2, 23.022), (11.2, 23.68), (11.2, 24.355), (11.2, 25.163), (11.2, 25.786), (11.2, 26.462), (11.2, 27.076), (11.2, 27.699), (11.2, 28.334), (11.2, 28.917), (11.2, 29.707), (11.2, 30.258), (11.2, 30.806), (11.2, 31.37), (11.2, 31.892), (11.2, 32.432), (11.2, 32.959), (11.2, 33.51), (11.2, 34.028), (11.2, 34.529), (11.2, 35.036), (11.2, 35.553), (11.2, 36.05), (11.2, 36.546), (11.2, 37.02), (11.2, 37.497), (11.2, 37.928), (11.2, 38.372), (11.2, 38.802), (11.2, 39.206), (11.2, 39.65), (11.2, 40.082), (11.2, 40.755), (11.2, 41.161), (11.2, 41.566), (11.2, 41.97), (11.2, 42.37), (11.2, 42.768), (11.2, 43.163), (11.2, 43.542), (11.2, 43.928), (11.2, 44.31), (11.2, 44.7), (11.2, 45.095), (11.2, 45.482), (11.2, 45.871), (11.2, 46.251), (14.1, 46.639), (14.1, 47.03), (14.1, 47.418), (14.1, 47.809), (14.1, 48.193), (14.1, 48.583), (14.1, 48.968), (14.1, 49.354), (14.1, 49.747), (14.1, 50.137), (14.1, 50.515))",5000
"('i_15_13_13_3_27_FR', 'U1S', 'MCTS', False)",14.85,-,"((3.04, 0.117), (8.88, 5.375), (9.32, 8.795), (9.32, 11.899), (9.32, 15.037), (9.32, 18.144), (15.11, 21.252), (15.11, 24.345), (15.11, 27.367), (15.11, 30.495), (16.73, 33.553), (16.73, 36.586), (16.73, 39.616), (16.73, 42.656), (14.85, 45.768), (14.85, 48.807), (14.85, 51.917), (14.85, 54.988), (14.85, 58.291))",928
"('i_15_13_13_3_27_FR', 'U1S', 'BFS', False)",20.62,-,"((20.62, 60.108),)",7793
"('i_15_13_13_3_27_FR', 'U1S', 'BNB', False)",16.55,-,"((16.55, 62.722),)",126
"('i_15_13_13_3_27_FR', 'U1S', 'BNBL', False)",20.55,-,"((20.55, 60.45),)",4877
