run,final result,time,result,states
"('i_15_16_11_1_18_FR', 'U1D', 'MCTS', True)",10.29,10.982,"((5.17, 0.005), (8.53, 0.112), (8.53, 0.227), (11.2, 0.33), (13.39, 0.431), (13.39, 0.534), (13.39, 0.639), (13.39, 0.745), (13.39, 0.857), (13.39, 0.97), (13.39, 1.085), (13.39, 1.202), (13.39, 1.32), (13.39, 1.434), (13.39, 1.546), (13.39, 1.658), (13.39, 1.768), (13.39, 1.874), (13.39, 2.01), (13.39, 2.116), (13.39, 2.217), (13.39, 2.32), (13.39, 2.424), (13.39, 2.526), (13.39, 2.626), (13.39, 2.728), (13.39, 2.829), (13.39, 2.93), (13.39, 3.03), (13.39, 3.131), (13.39, 3.231), (13.39, 3.334), (13.39, 3.435), (13.39, 3.536), (13.39, 3.639), (13.39, 3.742), (13.39, 3.843), (13.39, 3.947), (13.39, 4.047), (17.51, 4.149), (17.51, 4.252), (17.51, 4.356), (17.51, 4.457), (17.51, 4.559), (17.51, 4.666), (17.51, 4.768), (17.51, 4.871), (17.51, 4.975), (17.51, 5.081), (17.51, 5.189), (17.51, 5.297), (17.51, 5.405), (17.51, 5.513), (17.51, 5.625), (17.51, 5.732), (17.51, 5.845), (17.51, 5.955), (17.51, 6.066), (17.51, 6.177), (17.51, 6.288), (17.51, 6.397), (17.51, 6.513), (17.51, 6.622), (13.37, 6.733), (13.37, 6.841), (10.29, 6.954), (10.29, 7.065), (10.29, 7.178), (10.29, 7.292), (10.29, 7.448), (10.29, 7.557), (10.29, 7.671), (10.29, 7.78), (10.29, 7.894), (10.29, 8.004), (10.29, 8.118), (10.29, 8.23), (10.29, 8.341), (10.29, 8.452), (10.29, 8.566), (10.29, 8.681), (10.29, 8.796), (10.29, 8.908), (10.29, 9.022), (10.29, 9.133), (10.29, 9.243), (10.29, 9.358), (10.29, 9.473), (10.29, 9.589), (10.29, 9.701), (10.29, 9.865), (10.29, 9.979), (10.29, 10.095), (10.29, 10.207), (10.29, 10.322), (10.29, 10.427), (10.29, 10.539), (10.29, 10.646), (10.29, 10.758), (10.29, 10.867), (10.29, 10.982))",5000
"('i_15_16_11_1_18_FR', 'U1S', 'MCTS', True)",13.89,58.493,"((5.17, 0.014), (12.71, 0.617), (5.17, 1.307), (5.17, 1.812), (5.17, 2.323), (5.17, 2.832), (5.17, 3.373), (5.17, 3.901), (5.17, 4.544), (5.17, 5.191), (5.17, 5.905), (8.53, 6.614), (8.53, 7.286), (8.53, 7.933), (8.53, 8.571), (8.53, 9.168), (8.53, 9.785), (8.53, 10.375), (8.53, 10.936), (8.53, 11.479), (8.53, 12.03), (9.34, 12.564), (9.34, 13.045), (9.34, 13.548), (9.34, 14.041), (9.34, 14.545), (9.34, 15.024), (9.34, 15.528), (9.34, 16.028), (9.34, 16.502), (9.34, 17.019), (9.34, 17.55), (9.34, 18.047), (9.34, 18.546), (9.34, 19.052), (9.34, 19.553), (16.55, 20.076), (16.55, 20.534), (16.55, 21.068), (16.55, 21.601), (16.55, 22.082), (16.55, 22.597), (16.55, 23.117), (16.55, 23.675), (16.55, 24.212), (16.55, 24.754), (16.55, 25.322), (16.55, 25.86), (16.55, 26.411), (16.55, 26.979), (16.55, 27.492), (16.55, 28.029), (13.89, 28.571), (13.89, 29.115), (13.89, 29.669), (13.89, 30.262), (13.89, 30.867), (13.89, 31.45), (13.89, 32.033), (13.89, 32.638), (13.89, 33.244), (13.89, 33.852), (13.89, 34.573), (13.89, 35.2), (13.89, 35.769), (13.89, 36.351), (13.89, 36.944), (13.89, 37.568), (13.89, 38.176), (13.89, 38.805), (13.89, 39.419), (13.89, 40.069), (13.89, 40.713), (13.89, 41.335), (13.89, 41.968), (13.89, 42.6), (13.89, 43.228), (13.89, 43.831), (13.89, 44.466), (13.89, 45.073), (13.89, 45.707), (13.89, 46.337), (13.89, 46.984), (13.89, 47.657), (13.89, 48.273), (13.89, 48.904), (13.89, 49.534), (13.89, 50.154), (13.89, 50.844), (13.89, 51.517), (13.89, 52.138), (13.89, 52.773), (13.89, 53.41), (13.89, 54.067), (13.89, 54.715), (13.89, 55.355), (13.89, 55.974), (13.89, 56.58), (13.89, 57.203), (13.89, 57.878), (13.89, 58.493))",5000
"('i_15_16_11_1_18_FR', 'U1S', 'BFS', True)",21.33,-,"((21.33, 60.019),)",17362
"('i_15_16_11_1_18_FR', 'U1S', 'BNB', True)",12.71,-,"((12.71, 62.49),)",170
"('i_15_16_11_1_18_FR', 'U1S', 'BNBL', True)",19.92,-,"((19.92, 60.031),)",10442
"('i_15_16_11_1_18_FR', 'U1D', 'MCTS', False)",23.03,9.414,"((5.17, 0.004), (11.2, 0.105), (11.2, 0.207), (15.37, 0.305), (15.37, 0.403), (18.46, 0.5), (18.46, 0.601), (15.37, 0.701), (12.0, 0.801), (12.0, 0.898), (12.0, 0.993), (12.0, 1.086), (12.0, 1.18), (12.0, 1.277), (12.0, 1.372), (12.0, 1.466), (12.0, 1.559), (12.0, 1.652), (12.0, 1.747), (12.0, 1.842), (12.0, 1.936), (12.0, 2.033), (18.07, 2.126), (18.07, 2.222), (18.07, 2.319), (20.6, 2.417), (20.6, 2.511), (20.6, 2.609), (20.6, 2.705), (20.6, 2.798), (20.6, 2.891), (20.6, 2.986), (20.6, 3.083), (20.6, 3.181), (20.6, 3.277), (20.6, 3.374), (20.6, 3.466), (20.6, 3.646), (20.6, 3.742), (23.03, 3.836), (23.03, 3.931), (23.03, 4.029), (23.03, 4.124), (23.03, 4.218), (23.03, 4.313), (23.03, 4.405), (23.03, 4.499), (23.03, 4.592), (23.03, 4.685), (23.03, 4.776), (23.03, 4.869), (23.03, 4.958), (23.03, 5.05), (23.03, 5.139), (23.03, 5.23), (23.03, 5.32), (23.03, 5.411), (23.03, 5.5), (23.03, 5.591), (23.03, 5.684), (23.03, 5.776), (23.03, 5.867), (23.03, 5.955), (23.03, 6.045), (23.03, 6.134), (23.03, 6.224), (23.03, 6.312), (23.03, 6.4), (23.03, 6.49), (23.03, 6.58), (23.03, 6.671), (23.03, 6.76), (23.03, 6.851), (23.03, 6.942), (23.03, 7.03), (23.03, 7.121), (23.03, 7.209), (23.03, 7.298), (23.03, 7.387), (23.03, 7.478), (23.03, 7.567), (23.03, 7.659), (23.03, 7.75), (23.03, 7.839), (23.03, 7.928), (23.03, 8.017), (23.03, 8.107), (23.03, 8.199), (23.03, 8.286), (23.03, 8.374), (23.03, 8.508), (23.03, 8.596), (23.03, 8.688), (23.03, 8.777), (23.03, 8.865), (23.03, 8.958), (23.03, 9.048), (23.03, 9.139), (23.03, 9.23), (23.03, 9.324), (23.03, 9.414))",5000
"('i_15_16_11_1_18_FR', 'U1S', 'MCTS', False)",23.03,-,"((5.17, 0.027), (13.39, 1.085), (16.5, 2.196), (16.5, 3.218), (16.5, 4.222), (16.5, 5.23), (16.5, 6.286), (16.5, 7.321), (16.5, 8.399), (19.21, 9.417), (19.21, 10.388), (19.21, 11.378), (19.21, 12.345), (19.21, 13.312), (19.21, 14.3), (19.21, 15.271), (19.21, 16.241), (19.21, 17.206), (19.21, 18.186), (19.21, 19.178), (19.21, 20.169), (19.21, 21.136), (19.21, 22.129), (19.21, 23.141), (19.21, 24.121), (19.21, 25.113), (19.21, 26.099), (19.21, 27.079), (19.21, 28.073), (19.21, 29.054), (19.21, 29.993), (19.21, 31.002), (19.21, 31.982), (19.21, 32.991), (19.21, 33.981), (19.21, 34.999), (19.21, 35.982), (19.21, 36.937), (23.03, 37.904), (23.03, 38.891), (23.03, 39.862), (23.03, 40.815), (23.03, 41.777), (23.03, 42.709), (23.03, 43.665), (23.03, 44.611), (23.03, 45.523), (23.03, 46.493), (23.03, 47.451), (23.03, 48.36), (23.03, 49.302), (23.03, 50.242), (23.03, 51.192), (23.03, 52.144), (23.03, 53.079), (23.03, 54.059), (23.03, 54.979), (23.03, 55.928), (23.03, 56.823), (23.03, 57.729), (23.03, 58.671), (23.03, 59.599))",3073
"('i_15_16_11_1_18_FR', 'U1S', 'BFS', False)",30.51,-,"((30.51, 60.011),)",9602
"('i_15_16_11_1_18_FR', 'U1S', 'BNB', False)",19.21,-,"((19.21, 60.497),)",167
"('i_15_16_11_1_18_FR', 'U1S', 'BNBL', False)",27.24,-,"((27.24, 60.026),)",5879
