run,final result,time,result,states
"('i_9_7_11_5_11_MT', 'U1D', 'MCTS', True)",0.0,-,"((0.0, 0.99), (0.0, 13.549), (0.0, 26.791), (0.0, 40.745), (0.0, 53.664))",223
"('i_9_7_11_5_11_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 5.347), (0.0, 50.821))",61
"('i_9_7_11_5_11_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 67.057),)",33696
"('i_9_7_11_5_11_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 438.082),)",7776
"('i_9_7_11_5_11_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 72.911),)",23328
"('i_9_7_11_5_11_MT', 'U1D', 'MCTS', False)",0.0,-,"((0.0, 0.032), (0.0, 0.596), (0.0, 1.044), (0.0, 1.514), (0.0, 1.975), (0.0, 3.097), (0.0, 7.2), (0.0, 12.038), (0.0, 18.03), (0.0, 23.841), (0.0, 28.597), (0.0, 28.946), (0.0, 29.321), (0.0, 29.706), (0.0, 30.089), (0.0, 30.471), (0.0, 30.816), (0.0, 31.172), (0.0, 31.542), (0.0, 31.911), (0.0, 32.283), (0.0, 32.645), (0.0, 33.005), (0.0, 33.375), (0.0, 33.745), (0.0, 34.124), (0.0, 34.509), (0.0, 34.898), (0.0, 35.291), (0.0, 35.674), (0.0, 36.066), (0.0, 36.441), (0.0, 36.819), (0.0, 37.229), (0.0, 37.626), (0.0, 38.042), (0.0, 38.407), (0.0, 38.762), (0.0, 39.135), (0.0, 39.505), (0.0, 39.865), (0.0, 40.234), (0.0, 40.6), (0.0, 40.976), (0.0, 41.346), (0.0, 42.279), (0.0, 42.641), (0.0, 42.994), (0.0, 43.36), (0.0, 43.722), (0.0, 44.088), (0.0, 44.45), (0.0, 44.802), (0.0, 45.164), (0.0, 45.543), (0.0, 45.928), (0.0, 46.3), (0.0, 46.649), (0.0, 47.008), (0.0, 47.378), (0.0, 47.741), (0.0, 48.11), (0.0, 48.475), (0.0, 48.847), (0.0, 49.215), (0.0, 49.596), (0.0, 49.985), (0.0, 50.344), (0.0, 50.705), (0.0, 51.074), (0.0, 51.458), (0.0, 51.841), (0.0, 52.211), (0.0, 52.593), (0.0, 52.996), (0.0, 53.383), (0.0, 53.771), (0.0, 54.131), (0.0, 54.509), (0.0, 54.894), (0.0, 55.271), (0.0, 56.246), (0.0, 56.621), (0.0, 56.993), (0.0, 57.375), (0.0, 57.773), (0.0, 58.179), (0.0, 58.565), (0.0, 58.953), (0.0, 59.359), (0.0, 59.738))",4536
"('i_9_7_11_5_11_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.212), (0.0, 1.374), (0.0, 2.529), (0.0, 3.697), (0.0, 6.145), (0.0, 12.213), (0.0, 39.92))",332
"('i_9_7_11_5_11_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 60.193),)",23970
"('i_9_7_11_5_11_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 62.182),)",1134
"('i_9_7_11_5_11_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 60.431),)",14994
