run,final result,time,result,states
"('i_3_2_4_3_3_MT', 'U1D', 'MCTS', True)",0.39,6.668,"((0.06, 0.012), (0.31, 0.033), (0.31, 0.057), (0.31, 0.08), (0.31, 0.102), (0.31, 1.01), (0.33, 2.09), (0.33, 3.467), (0.33, 4.74), (0.33, 5.38), (0.33, 5.394), (0.31, 5.408), (0.31, 5.423), (0.31, 5.437), (0.38, 5.451), (0.38, 5.465), (0.31, 5.48), (0.31, 5.494), (0.31, 5.508), (0.31, 5.523), (0.31, 5.537), (0.31, 5.551), (0.31, 5.565), (0.31, 5.58), (0.31, 5.594), (0.31, 5.608), (0.31, 5.622), (0.31, 5.636), (0.31, 5.651), (0.31, 5.665), (0.31, 5.679), (0.31, 5.694), (0.31, 5.708), (0.31, 5.723), (0.31, 5.737), (0.31, 5.751), (0.31, 5.766), (0.31, 5.78), (0.31, 5.794), (0.31, 5.808), (0.31, 5.822), (0.31, 5.836), (0.31, 5.849), (0.31, 5.864), (0.31, 5.878), (0.31, 5.892), (0.31, 5.906), (0.31, 5.92), (0.31, 5.934), (0.31, 5.949), (0.31, 5.963), (0.31, 5.977), (0.31, 5.991), (0.31, 6.005), (0.31, 6.02), (0.31, 6.034), (0.31, 6.048), (0.31, 6.062), (0.31, 6.077), (0.31, 6.091), (0.31, 6.105), (0.31, 6.119), (0.31, 6.133), (0.31, 6.147), (0.31, 6.161), (0.31, 6.175), (0.31, 6.188), (0.31, 6.203), (0.31, 6.217), (0.31, 6.231), (0.39, 6.245), (0.39, 6.26), (0.39, 6.273), (0.39, 6.288), (0.39, 6.302), (0.39, 6.317), (0.39, 6.331), (0.39, 6.345), (0.39, 6.359), (0.39, 6.373), (0.39, 6.388), (0.39, 6.402), (0.39, 6.416), (0.39, 6.431), (0.39, 6.445), (0.39, 6.459), (0.39, 6.473), (0.39, 6.487), (0.39, 6.501), (0.39, 6.515), (0.39, 6.528), (0.39, 6.543), (0.39, 6.557), (0.39, 6.571), (0.39, 6.585), (0.39, 6.599), (0.39, 6.613), (0.39, 6.628), (0.39, 6.641), (0.39, 6.655), (0.39, 6.668))",5000
"('i_3_2_4_3_3_MT', 'U1S', 'MCTS', True)",0.45,21.899,"((0.06, 0.066), (0.33, 0.099), (0.31, 0.134), (0.31, 0.17), (0.31, 0.204), (0.33, 4.243), (0.33, 9.007), (0.33, 13.789), (0.33, 17.748), (0.33, 20.493), (0.33, 20.509), (0.33, 20.525), (0.33, 20.54), (0.33, 20.554), (0.33, 20.569), (0.33, 20.584), (0.33, 20.599), (0.33, 20.615), (0.39, 20.63), (0.39, 20.645), (0.39, 20.662), (0.39, 20.676), (0.39, 20.692), (0.39, 20.707), (0.39, 20.722), (0.39, 20.738), (0.39, 20.752), (0.39, 20.767), (0.39, 20.782), (0.39, 20.797), (0.39, 20.813), (0.39, 20.829), (0.39, 20.844), (0.39, 20.859), (0.39, 20.875), (0.39, 20.89), (0.39, 20.906), (0.39, 20.922), (0.39, 20.937), (0.39, 20.952), (0.39, 20.967), (0.39, 20.982), (0.39, 20.998), (0.39, 21.013), (0.39, 21.028), (0.39, 21.044), (0.39, 21.06), (0.39, 21.076), (0.39, 21.092), (0.39, 21.108), (0.39, 21.124), (0.39, 21.139), (0.39, 21.155), (0.39, 21.17), (0.39, 21.184), (0.39, 21.199), (0.39, 21.216), (0.39, 21.231), (0.39, 21.247), (0.39, 21.263), (0.39, 21.279), (0.39, 21.294), (0.39, 21.309), (0.39, 21.323), (0.39, 21.338), (0.39, 21.353), (0.39, 21.369), (0.39, 21.385), (0.39, 21.4), (0.39, 21.416), (0.39, 21.432), (0.39, 21.446), (0.39, 21.462), (0.39, 21.478), (0.39, 21.493), (0.39, 21.509), (0.39, 21.524), (0.39, 21.54), (0.39, 21.556), (0.39, 21.572), (0.39, 21.586), (0.39, 21.601), (0.39, 21.617), (0.39, 21.632), (0.39, 21.648), (0.39, 21.663), (0.39, 21.679), (0.39, 21.695), (0.39, 21.71), (0.39, 21.726), (0.39, 21.742), (0.39, 21.757), (0.39, 21.773), (0.39, 21.789), (0.39, 21.805), (0.39, 21.821), (0.45, 21.836), (0.45, 21.852), (0.45, 21.868), (0.45, 21.884), (0.45, 21.899))",5000
"('i_3_2_4_3_3_MT', 'U1S', 'BFS', True)",0.45,-,"((0.45, 60.141),)",51448
"('i_3_2_4_3_3_MT', 'U1S', 'BNB', True)",0.06,3.6388504330000018,"((0.06, 3.6388504330000018),)",1944
"('i_3_2_4_3_3_MT', 'U1S', 'BNBL', True)",0.45,55.456261823000006,"((0.45, 55.456261823000006),)",60472
"('i_3_2_4_3_3_MT', 'U1D', 'MCTS', False)",0.39,0.932,"((0.06, 0.002), (0.06, 0.077), (0.39, 0.091), (0.39, 0.099), (0.39, 0.107), (0.39, 0.115), (0.39, 0.121), (0.39, 0.129), (0.39, 0.136), (0.39, 0.144), (0.39, 0.151), (0.33, 0.158), (0.39, 0.165), (0.39, 0.173), (0.39, 0.181), (0.39, 0.189), (0.39, 0.196), (0.39, 0.204), (0.39, 0.212), (0.39, 0.22), (0.39, 0.228), (0.39, 0.237), (0.39, 0.245), (0.39, 0.253), (0.39, 0.262), (0.39, 0.27), (0.39, 0.278), (0.39, 0.286), (0.39, 0.295), (0.39, 0.304), (0.39, 0.313), (0.39, 0.322), (0.39, 0.331), (0.39, 0.34), (0.39, 0.349), (0.39, 0.357), (0.39, 0.366), (0.39, 0.374), (0.39, 0.382), (0.39, 0.391), (0.39, 0.4), (0.39, 0.409), (0.39, 0.418), (0.39, 0.427), (0.39, 0.436), (0.39, 0.445), (0.39, 0.454), (0.39, 0.462), (0.39, 0.471), (0.39, 0.48), (0.39, 0.489), (0.39, 0.498), (0.39, 0.507), (0.39, 0.516), (0.39, 0.525), (0.39, 0.534), (0.39, 0.543), (0.39, 0.552), (0.39, 0.561), (0.39, 0.57), (0.39, 0.578), (0.39, 0.587), (0.39, 0.596), (0.39, 0.604), (0.39, 0.613), (0.39, 0.622), (0.39, 0.631), (0.39, 0.64), (0.39, 0.649), (0.39, 0.658), (0.39, 0.667), (0.39, 0.676), (0.39, 0.685), (0.39, 0.693), (0.39, 0.702), (0.39, 0.711), (0.39, 0.72), (0.39, 0.729), (0.39, 0.737), (0.39, 0.746), (0.39, 0.755), (0.39, 0.764), (0.39, 0.772), (0.39, 0.781), (0.39, 0.79), (0.39, 0.798), (0.39, 0.807), (0.39, 0.816), (0.39, 0.825), (0.39, 0.834), (0.39, 0.843), (0.39, 0.852), (0.39, 0.861), (0.39, 0.869), (0.39, 0.879), (0.39, 0.888), (0.39, 0.897), (0.39, 0.906), (0.39, 0.915), (0.39, 0.923), (0.39, 0.932))",1027
"('i_3_2_4_3_3_MT', 'U1S', 'MCTS', False)",0.45,1.433,"((0.06, 0.013), (0.33, 0.506), (0.39, 0.555), (0.45, 0.563), (0.45, 0.571), (0.45, 0.578), (0.45, 0.586), (0.45, 0.593), (0.45, 0.601), (0.45, 0.608), (0.45, 0.616), (0.45, 0.624), (0.45, 0.632), (0.45, 0.639), (0.45, 0.647), (0.45, 0.655), (0.45, 0.663), (0.45, 0.671), (0.45, 0.679), (0.45, 0.687), (0.45, 0.696), (0.45, 0.704), (0.45, 0.713), (0.45, 0.722), (0.45, 0.73), (0.45, 0.739), (0.45, 0.747), (0.45, 0.756), (0.45, 0.766), (0.45, 0.775), (0.45, 0.784), (0.45, 0.793), (0.45, 0.803), (0.45, 0.812), (0.45, 0.821), (0.45, 0.83), (0.45, 0.84), (0.45, 0.849), (0.45, 0.858), (0.45, 0.867), (0.45, 0.876), (0.45, 0.885), (0.45, 0.895), (0.45, 0.904), (0.45, 0.913), (0.45, 0.922), (0.45, 0.931), (0.45, 0.941), (0.45, 0.95), (0.45, 0.96), (0.45, 0.969), (0.45, 0.979), (0.45, 0.988), (0.45, 0.997), (0.45, 1.006), (0.45, 1.015), (0.45, 1.025), (0.45, 1.034), (0.45, 1.043), (0.45, 1.052), (0.45, 1.061), (0.45, 1.07), (0.45, 1.079), (0.45, 1.089), (0.45, 1.098), (0.45, 1.107), (0.45, 1.116), (0.45, 1.125), (0.45, 1.135), (0.45, 1.144), (0.45, 1.154), (0.45, 1.163), (0.45, 1.172), (0.45, 1.182), (0.45, 1.191), (0.45, 1.2), (0.45, 1.21), (0.45, 1.219), (0.45, 1.228), (0.45, 1.238), (0.45, 1.247), (0.45, 1.256), (0.45, 1.265), (0.45, 1.274), (0.45, 1.284), (0.45, 1.293), (0.45, 1.303), (0.45, 1.312), (0.45, 1.321), (0.45, 1.331), (0.45, 1.34), (0.45, 1.35), (0.45, 1.359), (0.45, 1.369), (0.45, 1.378), (0.45, 1.387), (0.45, 1.397), (0.45, 1.406), (0.45, 1.415), (0.45, 1.424), (0.45, 1.433))",1027
"('i_3_2_4_3_3_MT', 'U1S', 'BFS', False)",0.45,1.239274021,"((0.45, 1.239274021),)",1027
"('i_3_2_4_3_3_MT', 'U1S', 'BNB', False)",0.06,0.1160324550000098,"((0.06, 0.1160324550000098),)",54
"('i_3_2_4_3_3_MT', 'U1S', 'BNBL', False)",0.45,1.241817420999979,"((0.45, 1.241817420999979),)",1000
