run,final result,time,result
"('grid5X5agents_2hor_5mr5FR', 1000, 'U1D', True)",10.576,4.857148885726929,"(3.035, 3.77, 6.988, 9.761, 9.594, 9.653, 10.786, 10.641, 10.673, 10.664, 10.737, 10.695, 10.638, 10.7, 10.585, 10.796, 10.693, 10.744, 10.568, 10.698, 10.576)"
"('grid5X5agents_2hor_5mr5FR', 1000, 'U1S', True)",6.69334,5.767583131790161,"(2.9948799999999998, 2.9948799999999998, 2.9948799999999998, 2.9948799999999998, 2.9948799999999998, 2.9948799999999998, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334, 6.69334)"
"('grid5X5agents_2hor_5mr5FR', 1000, 'URD', True)",0.0,4.643601417541504,"(4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0)"
"('grid5X5agents_2hor_5mr5FR', 1000, 'URS', True)",6.409349938001426,4.992623805999756,"(2.99488, 5.387377027800001, 5.4188109054, 5.4188109054, 4.6766205619, 4.6766205619, 4.6766205619, 4.6766205619, 4.6766205619, 4.6766205619, 6.220223087399999, 6.220223087399999, 6.409349938001426, 6.409349938001426, 6.409349938001426, 6.409349938001426, 6.409349938001426, 6.409349938001426, 6.409349938001426, 6.409349938001426, 6.409349938001426)"
"('grid5X5agents_2hor_5mr5FR', 1000, 'U1D', False)",14.343,8.635729789733887,"(3.103, 6.622, 6.724, 6.723, 6.706, 6.682, 6.624, 6.75, 6.7, 6.749, 14.394, 14.32, 14.285, 14.38, 14.501, 14.306, 14.339, 14.282, 14.429, 14.424, 14.343)"
"('grid5X5agents_2hor_5mr5FR', 1000, 'U1S', False)",-,-,-
"('grid5X5agents_2hor_5mr5FR', 1000, 'URD', False)",-,0.0010852813720703125,-
"('grid5X5agents_2hor_5mr5FR', 1000, 'URS', False)",-,-,-
