run,final result,time,result
"('grid3FR', 'U1D', 'MCTS', True)",1.23,1.656,"((0.43, 0.001), (1.23, 0.031), (1.23, 0.048), (1.23, 0.07), (1.23, 0.092), (0.56, 0.109), (0.56, 0.121), (0.56, 0.134), (0.56, 0.149), (1.08, 0.162), (1.08, 0.175), (1.08, 0.189), (1.08, 0.202), (1.08, 0.245), (1.08, 0.288), (1.08, 0.381), (1.08, 0.426), (1.08, 0.471), (1.23, 0.508), (1.23, 0.551), (1.23, 0.626), (1.23, 0.666), (1.23, 0.693), (1.23, 0.715), (1.23, 0.738), (1.23, 0.762), (1.23, 0.786), (1.23, 0.808), (1.23, 0.823), (1.23, 0.835), (1.23, 0.849), (1.23, 0.86), (1.23, 0.871), (1.23, 0.883), (1.23, 0.894), (1.23, 0.905), (1.23, 0.917), (1.23, 0.928), (1.23, 0.939), (1.23, 0.951), (1.23, 0.962), (1.23, 0.974), (1.23, 0.985), (1.23, 0.997), (1.23, 1.008), (1.23, 1.019), (1.23, 1.03), (1.23, 1.043), (1.23, 1.054), (1.23, 1.065), (1.23, 1.078), (1.23, 1.089), (1.23, 1.101), (1.23, 1.112), (1.23, 1.129), (1.23, 1.141), (1.23, 1.152), (1.23, 1.163), (1.23, 1.174), (1.23, 1.186), (1.23, 1.197), (1.23, 1.208), (1.23, 1.22), (1.23, 1.231), (1.23, 1.243), (1.23, 1.254), (1.23, 1.265), (1.23, 1.276), (1.23, 1.288), (1.23, 1.299), (1.23, 1.31), (1.23, 1.322), (1.23, 1.333), (1.23, 1.344), (1.23, 1.355), (1.23, 1.366), (1.23, 1.377), (1.23, 1.389), (1.23, 1.4), (1.23, 1.411), (1.23, 1.422), (1.23, 1.433), (1.23, 1.445), (1.23, 1.456), (1.23, 1.467), (1.23, 1.478), (1.23, 1.489), (1.23, 1.501), (1.23, 1.512), (1.23, 1.523), (1.23, 1.535), (1.23, 1.551), (1.23, 1.566), (1.23, 1.577), (1.23, 1.588), (1.23, 1.6), (1.23, 1.612), (1.23, 1.623), (1.23, 1.634), (1.23, 1.645), (1.23, 1.656))"
"('grid3FR', 'U1S', 'MCTS', True)",1.62,3.171,"((0.43, 0.003), (0.52, 0.069), (0.43, 0.093), (1.23, 0.116), (1.21, 0.139), (1.21, 0.161), (1.21, 0.185), (1.21, 0.21), (1.21, 0.239), (1.21, 0.262), (1.08, 0.285), (0.91, 0.312), (0.91, 0.348), (0.91, 0.529), (0.91, 0.64), (0.91, 0.749), (0.91, 0.864), (0.91, 0.973), (0.91, 1.08), (0.91, 1.186), (0.91, 1.292), (0.91, 1.432), (0.91, 1.54), (0.91, 1.647), (0.91, 1.709), (0.91, 1.728), (0.91, 1.746), (0.91, 1.763), (0.91, 1.785), (0.91, 1.806), (0.91, 1.825), (0.91, 1.843), (0.91, 1.862), (0.91, 1.881), (0.91, 1.905), (0.91, 1.924), (0.91, 1.943), (0.91, 1.962), (0.91, 1.979), (0.91, 1.999), (0.91, 2.019), (0.91, 2.037), (0.91, 2.056), (0.91, 2.076), (0.91, 2.095), (0.91, 2.113), (0.91, 2.132), (0.91, 2.15), (0.91, 2.168), (1.93, 2.194), (1.93, 2.213), (1.93, 2.23), (1.93, 2.248), (1.93, 2.267), (1.93, 2.285), (1.62, 2.304), (1.62, 2.322), (1.62, 2.341), (1.62, 2.359), (1.62, 2.379), (1.62, 2.396), (1.62, 2.414), (1.62, 2.432), (1.62, 2.45), (1.62, 2.469), (1.62, 2.488), (1.62, 2.507), (1.62, 2.526), (1.62, 2.545), (1.62, 2.564), (1.62, 2.587), (1.62, 2.606), (1.62, 2.626), (1.62, 2.645), (1.62, 2.664), (1.62, 2.683), (1.62, 2.702), (1.62, 2.721), (1.62, 2.744), (1.62, 2.77), (1.62, 2.789), (1.62, 2.808), (1.62, 2.827), (1.62, 2.846), (1.62, 2.865), (1.62, 2.884), (1.62, 2.901), (1.62, 2.92), (1.62, 2.94), (1.62, 2.958), (1.62, 2.977), (1.62, 2.996), (1.62, 3.015), (1.62, 3.034), (1.62, 3.054), (1.62, 3.073), (1.62, 3.092), (1.62, 3.11), (1.62, 3.133), (1.62, 3.153), (1.62, 3.171))"
"('grid3FR', 'U1S', 'BFS', True)",2.78,-,"((2.78, 60.006),)"
"('grid3FR', 'U1S', 'BNB', True)",2.78,-,"((2.78, 60.012),)"
"('grid3FR', 'U1D', 'MCTS', False)",1.23,1.82,"((0.43, 0.001), (0.56, 0.014), (1.08, 0.024), (1.08, 0.034), (1.08, 0.056), (1.23, 0.078), (1.23, 0.104), (1.23, 0.114), (1.23, 0.124), (1.23, 0.134), (1.23, 0.143), (1.23, 0.152), (1.23, 0.162), (1.23, 0.171), (1.23, 0.182), (1.23, 0.193), (1.23, 0.202), (1.23, 0.212), (1.23, 0.221), (1.23, 0.231), (1.23, 0.24), (1.23, 0.249), (1.23, 0.258), (1.23, 0.268), (1.23, 0.277), (1.23, 0.286), (1.23, 0.296), (1.23, 0.305), (1.23, 0.314), (1.08, 0.323), (1.08, 0.333), (1.08, 0.342), (1.08, 0.351), (1.08, 0.36), (1.08, 0.37), (1.08, 0.38), (1.08, 0.389), (1.08, 0.399), (1.08, 0.414), (1.08, 0.438), (1.08, 0.462), (1.08, 0.485), (1.08, 0.51), (1.08, 0.534), (1.08, 0.558), (1.08, 0.584), (1.08, 0.608), (0.56, 0.632), (0.56, 0.657), (0.56, 0.681), (0.56, 0.705), (0.56, 0.73), (0.56, 0.754), (0.56, 0.777), (0.56, 0.802), (0.56, 1.084), (0.56, 1.108), (0.56, 1.132), (0.56, 1.155), (0.56, 1.179), (0.56, 1.203), (0.56, 1.226), (0.56, 1.25), (0.56, 1.274), (0.56, 1.359), (0.56, 1.384), (0.56, 1.406), (0.56, 1.428), (0.56, 1.452), (0.56, 1.474), (0.56, 1.495), (0.56, 1.516), (0.56, 1.533), (0.56, 1.543), (0.56, 1.551), (0.56, 1.56), (0.56, 1.569), (0.56, 1.582), (0.56, 1.591), (0.56, 1.6), (0.56, 1.61), (0.56, 1.619), (0.56, 1.627), (0.56, 1.637), (1.23, 1.645), (1.23, 1.654), (1.23, 1.667), (1.23, 1.685), (1.23, 1.701), (1.23, 1.712), (1.23, 1.725), (1.23, 1.735), (1.23, 1.743), (1.23, 1.753), (1.23, 1.763), (1.23, 1.774), (1.23, 1.784), (1.23, 1.792), (1.23, 1.801), (1.23, 1.81), (1.23, 1.82))"
"('grid3FR', 'U1S', 'MCTS', False)",2.37,5.836,"((0.43, 0.002), (1.69, 0.055), (1.69, 0.103), (1.69, 0.157), (1.69, 0.302), (1.69, 0.403), (1.69, 0.498), (1.69, 0.523), (1.69, 0.551), (2.36, 0.584), (2.36, 0.611), (2.36, 0.637), (2.36, 0.663), (2.36, 0.694), (2.36, 0.72), (2.31, 0.746), (2.31, 0.773), (2.31, 0.801), (2.31, 0.827), (2.31, 0.853), (2.31, 0.882), (2.31, 0.909), (2.31, 0.935), (2.31, 0.96), (2.31, 0.986), (2.31, 1.012), (2.31, 1.038), (2.31, 1.064), (2.31, 1.089), (2.31, 1.131), (2.31, 1.177), (2.31, 1.218), (2.31, 1.26), (2.22, 1.302), (2.22, 1.344), (2.22, 1.381), (2.22, 1.409), (2.22, 1.436), (2.28, 1.486), (2.28, 1.754), (2.28, 1.852), (2.28, 1.95), (2.28, 2.046), (2.28, 2.143), (2.28, 2.243), (2.28, 2.346), (2.28, 2.441), (2.28, 2.537), (2.28, 2.635), (2.28, 2.729), (2.28, 2.854), (2.28, 2.969), (2.28, 3.067), (2.28, 3.165), (2.37, 3.291), (2.37, 3.382), (2.37, 3.474), (2.37, 3.566), (2.37, 3.656), (2.37, 3.749), (2.37, 3.842), (2.37, 3.934), (2.37, 4.026), (2.37, 4.119), (2.37, 4.249), (2.37, 4.424), (2.37, 4.598), (2.37, 4.74), (2.37, 4.842), (2.37, 4.974), (2.37, 5.071), (2.37, 5.175), (2.37, 5.267), (2.37, 5.326), (2.37, 5.345), (2.37, 5.363), (2.37, 5.382), (2.37, 5.403), (2.37, 5.423), (2.37, 5.441), (2.37, 5.46), (2.37, 5.478), (2.37, 5.496), (2.37, 5.515), (2.37, 5.533), (2.37, 5.552), (2.37, 5.57), (2.37, 5.589), (2.37, 5.607), (2.37, 5.626), (2.37, 5.644), (2.37, 5.663), (2.37, 5.687), (2.37, 5.706), (2.37, 5.724), (2.37, 5.744), (2.37, 5.763), (2.37, 5.782), (2.37, 5.8), (2.37, 5.818), (2.37, 5.836))"
"('grid3FR', 'U1S', 'BFS', False)",2.87,-,"((2.87, 60.007),)"
"('grid3FR', 'U1S', 'BNB', False)",2.87,-,"((2.87, 60.01),)"
