run,final result,time,result,states
"('i_9_8_11_3_9_MT', 'U1D', 'MCTS', True)",0.0,21.56,"((0.0, 0.018), (0.0, 0.158), (0.0, 0.299), (0.0, 0.449), (0.0, 0.593), (0.0, 1.823), (0.0, 3.633), (0.0, 5.948), (0.0, 8.101), (0.0, 9.612), (0.0, 9.735), (0.0, 9.862), (0.0, 9.992), (0.0, 10.123), (0.0, 10.247), (0.0, 10.38), (0.0, 10.513), (0.0, 10.649), (0.0, 10.777), (0.0, 10.905), (0.0, 11.041), (0.0, 11.171), (0.0, 11.3), (0.0, 11.424), (0.0, 11.551), (0.0, 11.68), (0.0, 11.807), (0.0, 11.931), (0.0, 12.057), (0.0, 12.189), (0.0, 12.317), (0.0, 12.442), (0.0, 12.567), (0.0, 12.695), (0.0, 12.823), (0.0, 12.949), (0.0, 13.071), (0.0, 13.199), (0.0, 13.328), (0.0, 13.456), (0.0, 13.579), (0.0, 13.708), (0.0, 13.837), (0.0, 13.968), (0.0, 14.095), (0.0, 14.221), (0.0, 14.354), (0.0, 14.486), (0.0, 14.618), (0.0, 14.741), (0.0, 14.881), (0.0, 15.014), (0.0, 15.151), (0.0, 15.279), (0.0, 15.416), (0.0, 15.551), (0.0, 15.685), (0.0, 15.81), (0.0, 15.934), (0.0, 16.067), (0.0, 16.196), (0.0, 16.319), (0.0, 16.442), (0.0, 16.567), (0.0, 16.696), (0.0, 16.822), (0.0, 16.953), (0.0, 17.088), (0.0, 17.223), (0.0, 17.355), (0.0, 17.479), (0.0, 17.608), (0.0, 17.741), (0.0, 17.872), (0.0, 18.003), (0.0, 18.135), (0.0, 18.272), (0.0, 18.414), (0.0, 18.555), (0.0, 18.683), (0.0, 18.827), (0.0, 18.966), (0.0, 19.107), (0.0, 19.24), (0.0, 19.38), (0.0, 19.523), (0.0, 19.664), (0.0, 19.799), (0.0, 19.93), (0.0, 20.07), (0.0, 20.209), (0.0, 20.341), (0.0, 20.473), (0.0, 20.611), (0.0, 20.751), (0.0, 20.889), (0.0, 21.017), (0.0, 21.153), (0.0, 21.292), (0.0, 21.428), (0.0, 21.56))",5000
"('i_9_8_11_3_9_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 0.098), (0.0, 0.443), (0.0, 0.794), (0.0, 1.16), (0.0, 1.512), (0.0, 8.376), (0.0, 15.272), (0.0, 23.894), (0.0, 32.895), (0.0, 38.636), (0.0, 38.933), (0.0, 39.226), (0.0, 39.53), (0.0, 39.834), (0.0, 40.148), (0.0, 40.464), (0.0, 40.773), (0.0, 41.082), (0.0, 41.401), (0.0, 41.72), (0.0, 42.03), (0.0, 42.355), (0.0, 42.682), (0.0, 42.989), (0.0, 43.304), (0.0, 43.614), (0.0, 43.925), (0.0, 44.235), (0.0, 44.724), (0.0, 45.043), (0.0, 45.355), (0.0, 45.663), (0.0, 45.973), (0.0, 46.295), (0.0, 46.606), (0.0, 46.915), (0.0, 47.227), (0.0, 47.556), (0.0, 47.866), (0.0, 48.19), (0.0, 48.522), (0.0, 48.841), (0.0, 49.155), (0.0, 49.481), (0.0, 49.792), (0.0, 50.108), (0.0, 50.425), (0.0, 50.724), (0.0, 51.044), (0.0, 51.372), (0.0, 51.697), (0.0, 52.022), (0.0, 52.34), (0.0, 52.845), (0.0, 53.166), (0.0, 53.499), (0.0, 53.809), (0.0, 54.13), (0.0, 54.454), (0.0, 54.769), (0.0, 55.086), (0.0, 55.427), (0.0, 55.754), (0.0, 56.066), (0.0, 56.392), (0.0, 56.717), (0.0, 57.052), (0.0, 57.379), (0.0, 57.711), (0.0, 58.033), (0.0, 58.35), (0.0, 58.663), (0.0, 58.974), (0.0, 59.301), (0.0, 59.624), (0.0, 59.963))",3757
"('i_9_8_11_3_9_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 60.307),)",49176
"('i_9_8_11_3_9_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 60.624),)",6072
"('i_9_8_11_3_9_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 60.29),)",37400
"('i_9_8_11_3_9_MT', 'U1D', 'MCTS', False)",0.0,17.475,"((0.0, 0.004), (0.0, 0.18), (0.0, 0.276), (0.0, 0.355), (0.0, 0.438), (0.0, 0.519), (0.0, 0.6), (0.0, 0.681), (0.0, 0.763), (0.0, 0.843), (0.0, 0.927), (0.0, 1.009), (0.0, 1.092), (0.0, 1.175), (0.0, 1.259), (0.0, 1.341), (0.0, 1.431), (0.0, 1.52), (0.0, 1.614), (0.0, 1.706), (0.0, 1.802), (0.0, 1.935), (0.0, 2.08), (0.0, 2.241), (0.0, 2.391), (0.0, 2.539), (0.0, 2.683), (0.0, 3.087), (0.0, 3.377), (0.0, 3.715), (0.0, 4.015), (0.0, 4.339), (0.0, 4.598), (0.0, 4.867), (0.0, 5.205), (0.0, 5.471), (0.0, 5.952), (0.0, 6.336), (0.0, 6.758), (0.0, 7.288), (0.0, 7.63), (0.0, 7.934), (0.0, 8.226), (0.0, 8.681), (0.0, 8.98), (0.0, 9.31), (0.0, 9.639), (0.0, 10.004), (0.0, 10.344), (0.0, 10.845), (0.0, 11.155), (0.0, 11.49), (0.0, 11.822), (0.0, 12.061), (0.0, 12.234), (0.0, 12.394), (0.0, 12.571), (0.0, 12.742), (0.0, 12.897), (0.0, 13.259), (0.0, 13.435), (0.0, 13.598), (0.0, 13.778), (0.0, 13.956), (0.0, 14.14), (0.0, 14.322), (0.0, 14.51), (0.0, 14.687), (0.0, 14.868), (0.0, 15.038), (0.0, 15.187), (0.0, 15.263), (0.0, 15.34), (0.0, 15.416), (0.0, 15.493), (0.0, 15.568), (0.0, 15.644), (0.0, 15.722), (0.0, 15.798), (0.0, 15.875), (0.0, 15.951), (0.0, 16.026), (0.0, 16.104), (0.0, 16.18), (0.0, 16.254), (0.0, 16.331), (0.0, 16.41), (0.0, 16.488), (0.0, 16.565), (0.0, 16.642), (0.0, 16.718), (0.0, 16.795), (0.0, 16.87), (0.0, 16.946), (0.0, 17.021), (0.0, 17.096), (0.0, 17.173), (0.0, 17.248), (0.0, 17.324), (0.0, 17.402), (0.0, 17.475))",5000
"('i_9_8_11_3_9_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.022), (0.0, 0.916), (0.0, 1.226), (0.0, 1.438), (0.0, 1.652), (0.0, 1.867), (0.0, 2.08), (0.0, 2.295), (0.0, 2.508), (0.0, 2.72), (0.0, 2.937), (0.0, 3.153), (0.0, 3.37), (0.0, 3.591), (0.0, 3.81), (0.0, 4.036), (0.0, 4.277), (0.0, 4.548), (0.0, 4.816), (0.0, 5.075), (0.0, 5.338), (0.0, 5.988), (0.0, 6.595), (0.0, 7.219), (0.0, 7.879), (0.0, 8.43), (0.0, 8.995), (0.0, 10.124), (0.0, 11.569), (0.0, 13.013), (0.0, 14.466), (0.0, 15.747), (0.0, 17.097), (0.0, 18.968), (0.0, 20.375), (0.0, 21.674), (0.0, 23.56), (0.0, 25.517), (0.0, 27.628), (0.0, 29.485), (0.0, 31.369), (0.0, 33.101), (0.0, 34.765), (0.0, 36.359), (0.0, 37.904), (0.0, 39.493), (0.0, 41.083), (0.0, 42.633), (0.0, 44.056), (0.0, 45.674), (0.0, 47.217), (0.0, 48.785), (0.0, 50.38), (0.0, 51.45), (0.0, 52.237), (0.0, 53.088), (0.0, 53.882), (0.0, 54.604), (0.0, 55.371), (0.0, 56.057), (0.0, 56.702), (0.0, 57.246), (0.0, 57.987), (0.0, 58.542), (0.0, 59.253))",3247
"('i_9_8_11_3_9_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 60.007),)",38165
"('i_9_8_11_3_9_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 60.484),)",5857
"('i_9_8_11_3_9_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 60.026),)",30193
