run,final result,time,result,states
"('i_21_24_18_5_33_MT', 'U1D', 'MCTS', True)",0.0,-,"((0.0, 4.034),)",28
"('i_21_24_18_5_33_MT', 'U1S', 'MCTS', True)",0.0,-,"((0.0, 11.192),)",13
"('i_21_24_18_5_33_MT', 'U1S', 'BFS', True)",0.0,-,"((0.0, 151.584),)",0
"('i_21_24_18_5_33_MT', 'U1S', 'BNB', True)",0.0,-,"((0.0, 151.945),)",0
"('i_21_24_18_5_33_MT', 'U1S', 'BNBL', True)",0.0,-,"((0.0, 147.199),)",0
"('i_21_24_18_5_33_MT', 'U1D', 'MCTS', False)",0.0,-,"((0.0, 0.106), (0.0, 3.314), (0.0, 6.449), (0.0, 9.704), (0.0, 12.896), (0.0, 16.681), (0.0, 25.356), (0.0, 34.71), (0.0, 45.783), (0.0, 55.936))",469
"('i_21_24_18_5_33_MT', 'U1S', 'MCTS', False)",0.0,-,"((0.0, 0.409), (0.0, 7.308), (0.0, 13.243), (0.0, 19.235), (0.0, 25.496), (0.0, 35.073))",285
"('i_21_24_18_5_33_MT', 'U1S', 'BFS', False)",0.0,-,"((0.0, 145.928),)",0
"('i_21_24_18_5_33_MT', 'U1S', 'BNB', False)",0.0,-,"((0.0, 147.868),)",0
"('i_21_24_18_5_33_MT', 'U1S', 'BNBL', False)",0.0,-,"((0.0, 145.315),)",0
